participant_id,version,trial_number,phase,condition,difficulty,correct,correct_count,trial_count,start_time,end_time
amanda01,1,1,PRACTICE1,Choose the big circle,Choose the big circle,1,,1,2025-11-21T12:48:38.353584,2025-11-21T12:49:36.141445
amanda01,1,2,PRACTICE1,Choose the big circle,Choose the big circle,1,,2,2025-11-21T12:48:38.353584,2025-11-21T12:49:38.127515
amanda01,1,3,PRACTICE1,Choose the big circle,Choose the big circle,1,,3,2025-11-21T12:48:38.353584,2025-11-21T12:49:39.931264
amanda01,1,4,PRACTICE1,Choose the big circle,Choose the big circle,1,,4,2025-11-21T12:48:38.353584,2025-11-21T12:49:41.691768
amanda01,1,5,PRACTICE1,Choose the big circle,Choose the big circle,1,,5,2025-11-21T12:48:38.353584,2025-11-21T12:49:43.529417
amanda01,1,6,PRACTICE2,Choose the little circle,Choose the little circle,0,,1,2025-11-21T12:48:38.353584,2025-11-21T12:50:01.524579
amanda01,1,7,PRACTICE2,Choose the little circle,Choose the little circle,1,,2,2025-11-21T12:48:38.353584,2025-11-21T12:50:03.053223
amanda01,1,8,PRACTICE2,Choose the little circle,Choose the little circle,1,,3,2025-11-21T12:48:38.353584,2025-11-21T12:50:04.524814
amanda01,1,9,PRACTICE2,Choose the little circle,Choose the little circle,1,,4,2025-11-21T12:48:38.353584,2025-11-21T12:50:06.266000
amanda01,1,10,PRACTICE2,Choose the little circle,Choose the little circle,1,,5,2025-11-21T12:48:38.353584,2025-11-21T12:50:07.831954
amanda01,1,11,P1,Simple Discrimination (SD),SD,0,0,1,2025-11-21T12:48:38.353584,2025-11-21T12:50:52.384977
amanda01,1,12,P1,Simple Discrimination (SD),SD,1,1,2,2025-11-21T12:48:38.353584,2025-11-21T12:50:54.528024
amanda01,1,13,P1,Simple Discrimination (SD),SD,1,2,3,2025-11-21T12:48:38.353584,2025-11-21T12:50:56.101719
amanda01,1,14,P1,Simple Discrimination (SD),SD,1,3,4,2025-11-21T12:48:38.353584,2025-11-21T12:50:57.771223
amanda01,1,15,P2,Simple Reversal (SR),SR,0,0,1,2025-11-21T12:48:38.353584,2025-11-21T12:50:59.850138
amanda01,1,16,P2,Simple Reversal (SR),SR,1,1,2,2025-11-21T12:48:38.353584,2025-11-21T12:51:02.082720
amanda01,1,17,P2,Simple Reversal (SR),SR,1,2,3,2025-11-21T12:48:38.353584,2025-11-21T12:51:04.689214
amanda01,1,18,P2,Simple Reversal (SR),SR,1,3,4,2025-11-21T12:48:38.353584,2025-11-21T12:51:06.400894
amanda01,1,19,P3,Compound Discrimination (CD),CD,0,0,1,2025-11-21T12:48:38.353584,2025-11-21T12:51:08.416286
amanda01,1,20,P3,Compound Discrimination (CD),CD,0,0,2,2025-11-21T12:48:38.353584,2025-11-21T12:51:10.084013
amanda01,1,21,P3,Compound Discrimination (CD),CD,1,1,3,2025-11-21T12:48:38.353584,2025-11-21T12:51:13.291913
amanda01,1,22,P3,Compound Discrimination (CD),CD,1,2,4,2025-11-21T12:48:38.353584,2025-11-21T12:51:15.013725
amanda01,1,23,P3,Compound Discrimination (CD),CD,1,3,5,2025-11-21T12:48:38.353584,2025-11-21T12:51:16.693451
amanda01,1,24,P4,Compound Reversal (CDR),CDR,1,1,1,2025-11-21T12:48:38.353584,2025-11-21T12:51:18.459779
amanda01,1,25,P4,Compound Reversal (CDR),CDR,1,2,2,2025-11-21T12:48:38.353584,2025-11-21T12:51:20.037395
amanda01,1,26,P4,Compound Reversal (CDR),CDR,1,3,3,2025-11-21T12:48:38.353584,2025-11-21T12:51:21.639324
amanda01,1,27,P5,Intra-Dimensional Shift (IDS),IDS,0,0,1,2025-11-21T12:48:38.353584,2025-11-21T12:51:23.574281
amanda01,1,28,P5,Intra-Dimensional Shift (IDS),IDS,0,0,2,2025-11-21T12:48:38.353584,2025-11-21T12:51:25.255082
amanda01,1,29,P5,Intra-Dimensional Shift (IDS),IDS,1,1,3,2025-11-21T12:48:38.353584,2025-11-21T12:51:26.956253
amanda01,1,30,P5,Intra-Dimensional Shift (IDS),IDS,1,2,4,2025-11-21T12:48:38.353584,2025-11-21T12:51:28.581502
amanda01,1,31,P5,Intra-Dimensional Shift (IDS),IDS,1,3,5,2025-11-21T12:48:38.353584,2025-11-21T12:51:30.236806
amanda01,1,32,P6,Intra-Dimensional Reversal (IDR),IDR,0,0,1,2025-11-21T12:48:38.353584,2025-11-21T12:51:33.821569
amanda01,1,33,P6,Intra-Dimensional Reversal (IDR),IDR,1,1,2,2025-11-21T12:48:38.353584,2025-11-21T12:51:35.518966
amanda01,1,34,P6,Intra-Dimensional Reversal (IDR),IDR,1,2,3,2025-11-21T12:48:38.353584,2025-11-21T12:51:37.191160
amanda01,1,35,P6,Intra-Dimensional Reversal (IDR),IDR,1,3,4,2025-11-21T12:48:38.353584,2025-11-21T12:51:39.062078
amanda01,1,36,P7,Extra-Dimensional Shift (EDS),EDS,0,0,1,2025-11-21T12:48:38.353584,2025-11-21T12:51:40.682370
amanda01,1,37,P7,Extra-Dimensional Shift (EDS),EDS,0,0,2,2025-11-21T12:48:38.353584,2025-11-21T12:51:42.453383
amanda01,1,38,P7,Extra-Dimensional Shift (EDS),EDS,1,1,3,2025-11-21T12:48:38.353584,2025-11-21T12:51:44.116691
amanda01,1,39,P7,Extra-Dimensional Shift (EDS),EDS,1,2,4,2025-11-21T12:48:38.353584,2025-11-21T12:51:46.977420
amanda01,1,40,P7,Extra-Dimensional Shift (EDS),EDS,1,3,5,2025-11-21T12:48:38.353584,2025-11-21T12:51:48.814598
amanda01,1,41,P8,Extra-Dimensional Reversal (EDR),EDR,1,1,1,2025-11-21T12:48:38.353584,2025-11-21T12:51:51.102179
amanda01,1,42,P8,Extra-Dimensional Reversal (EDR),EDR,0,0,2,2025-11-21T12:48:38.353584,2025-11-21T12:51:53.588693
amanda01,1,43,P8,Extra-Dimensional Reversal (EDR),EDR,0,0,3,2025-11-21T12:48:38.353584,2025-11-21T12:51:55.572600
amanda01,1,44,P8,Extra-Dimensional Reversal (EDR),EDR,0,0,4,2025-11-21T12:48:38.353584,2025-11-21T12:51:57.242939
amanda01,1,45,P8,Extra-Dimensional Reversal (EDR),EDR,0,0,5,2025-11-21T12:48:38.353584,2025-11-21T12:52:00.417136
