task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,correct_shape,correct_line,incorrect_shape,incorrect_line,chosen_shape,chosen_line,unchosen_shape,unchosen_line,correct_count,trial_count,reaction_time,start_time,end_time,global_start_time,global_end_time
ied,cinco05,right,right,full,1,1,p1,practice,big,NA,NA,down,down,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,1,2173,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,2,p1,practice,big,NA,NA,up,up,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,2,623,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,3,p1,practice,big,NA,NA,down,down,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,3,728,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,4,p1,practice,big,NA,NA,right,right,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,4,995,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,5,p1,practice,big,NA,NA,left,left,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,5,506,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,6,p1,practice,big,NA,NA,left,left,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,6,2143,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,7,p1,practice,big,NA,NA,up,up,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,7,1925,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,8,p1,practice,big,NA,NA,up,up,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,8,1461,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,9,p1,practice,big,NA,NA,left,left,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,9,1853,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,10,p1,practice,big,NA,NA,right,down,0,circle_big,NA,circle_little,NA,circle_little,NA,circle_big,NA,NA,10,6032,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,11,p1,practice,big,NA,NA,down,down,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,11,5964,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,12,p1,practice,big,NA,NA,down,down,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,12,1404,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,13,p1,practice,big,NA,NA,down,left,0,circle_big,NA,circle_little,NA,circle_little,NA,circle_big,NA,NA,13,3413,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,14,p1,practice,big,NA,NA,up,left,0,circle_big,NA,circle_little,NA,circle_little,NA,circle_big,NA,NA,14,4933,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,15,p1,practice,big,NA,NA,right,right,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,15,3294,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,16,p1,practice,big,NA,NA,up,up,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,16,659,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,17,p1,practice,big,NA,NA,down,down,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,17,678,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
ied,cinco05,right,right,full,1,18,p1,practice,big,NA,NA,right,right,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,18,676,2026-03-06 15:44:19,2026-03-06 15:45:44,2026-03-06 15:43:46,2026-03-06 15:48:29
