task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,correct_shape,correct_line,incorrect_shape,incorrect_line,chosen_shape,chosen_line,unchosen_shape,unchosen_line,correct_count,trial_count,start_time,end_time,global_start_time,global_end_time
ied,cuatro04,right,right,full,2,1,p1,practice,big,NA,NA,left,left,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,1,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,2,p1,practice,big,NA,NA,down,down,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,2,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,3,p1,practice,big,NA,NA,down,down,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,3,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,4,p1,practice,big,NA,NA,right,right,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,4,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,5,p1,practice,big,NA,NA,down,down,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,5,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,6,p1,practice,big,NA,NA,right,right,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,6,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,7,p1,practice,big,NA,NA,up,up,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,7,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,8,p1,practice,big,NA,NA,down,down,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,8,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,9,p1,practice,big,NA,NA,right,right,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,9,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,10,p1,practice,big,NA,NA,up,up,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,10,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,11,p1,practice,big,NA,NA,up,up,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,11,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,12,p1,practice,big,NA,NA,left,left,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,12,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,13,p1,practice,big,NA,NA,right,right,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,13,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,14,p1,practice,big,NA,NA,right,right,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,14,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,15,p1,practice,big,NA,NA,up,up,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,15,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,16,p1,practice,big,NA,NA,right,right,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,16,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,17,p1,practice,big,NA,NA,right,right,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,17,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,18,p1,practice,big,NA,NA,left,left,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,18,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,19,p1,practice,big,NA,NA,left,left,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,19,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
ied,cuatro04,right,right,full,2,20,p1,practice,big,down,down,NA,NA,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,20,2026-03-06 15:22:03,2026-03-06 15:23:07,2026-03-06 15:21:41,2026-03-06 15:23:10
