task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,type,condition,key_correct,key_response,stimulus_key_response,isi_key_response,joy_correct,joy_response,stimulus_joy_response,isi_joy_response,correct,reaction_time,error_type,start_time,end_time,global_start_time,global_end_time
ccs,inicial01,left,left,full,1,1,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,490,NA,2026-03-06-12-06-38,2026-03-06-12-06-42,2026-03-06-12-06-22,2026-03-06-12-06-42
ccs,inicial01,left,left,full,1,2,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,307,NA,2026-03-06-12-06-38,2026-03-06-12-06-44,2026-03-06-12-06-22,2026-03-06-12-06-44
ccs,inicial01,left,left,full,1,3,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,1870,NA,2026-03-06-12-06-38,2026-03-06-12-06-49,2026-03-06-12-06-22,2026-03-06-12-06-49
ccs,inicial01,left,left,full,1,4,p1,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-06-12-06-38,2026-03-06-12-06-52,2026-03-06-12-06-22,2026-03-06-12-06-52
ccs,inicial01,left,left,full,1,5,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,1036,NA,2026-03-06-12-06-38,2026-03-06-12-06-56,2026-03-06-12-06-22,2026-03-06-12-06-56
ccs,inicial01,left,left,full,1,6,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,526,NA,2026-03-06-12-06-38,2026-03-06-12-06-59,2026-03-06-12-06-22,2026-03-06-12-06-59
ccs,inicial01,left,left,full,1,7,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,0,NA,2026-03-06-12-06-38,2026-03-06-12-07-01,2026-03-06-12-06-22,2026-03-06-12-07-01
ccs,inicial01,left,left,full,1,8,p1,practice,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-06-12-06-38,2026-03-06-12-07-06,2026-03-06-12-06-22,2026-03-06-12-07-06
ccs,inicial01,left,left,full,1,9,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,601,NA,2026-03-06-12-06-38,2026-03-06-12-07-09,2026-03-06-12-06-22,2026-03-06-12-07-09
ccs,inicial01,left,left,full,1,10,p1,practice,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-06-12-06-38,2026-03-06-12-07-14,2026-03-06-12-06-22,2026-03-06-12-07-14
