task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,type,condition,key_correct,key_response,stimulus_key_response,isi_key_response,joy_correct,joy_response,stimulus_joy_response,isi_joy_response,correct,reaction_time,error_type,start_time,end_time,global_start_time,global_end_time
ccs,ratata01,right,right,full,1,1,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,588,NA,2026-03-07-19-20-46,2026-03-07-19-20-49,2026-03-07-19-19-25,2026-03-07-19-20-49
ccs,ratata01,right,right,full,1,2,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,284,NA,2026-03-07-19-20-46,2026-03-07-19-20-52,2026-03-07-19-19-25,2026-03-07-19-20-52
ccs,ratata01,right,right,full,1,3,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,580,NA,2026-03-07-19-20-46,2026-03-07-19-20-55,2026-03-07-19-19-25,2026-03-07-19-20-55
ccs,ratata01,right,right,full,1,4,p1,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-19-20-46,2026-03-07-19-20-59,2026-03-07-19-19-25,2026-03-07-19-20-59
ccs,ratata01,right,right,full,1,5,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,321,NA,2026-03-07-19-20-46,2026-03-07-19-21-01,2026-03-07-19-19-25,2026-03-07-19-21-01
ccs,ratata01,right,right,full,1,6,p1,practice,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-19-20-46,2026-03-07-19-21-06,2026-03-07-19-19-25,2026-03-07-19-21-06
ccs,ratata01,right,right,full,1,7,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,352,NA,2026-03-07-19-20-46,2026-03-07-19-21-08,2026-03-07-19-19-25,2026-03-07-19-21-08
ccs,ratata01,right,right,full,1,8,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,328,NA,2026-03-07-19-20-46,2026-03-07-19-21-11,2026-03-07-19-19-25,2026-03-07-19-21-11
ccs,ratata01,right,right,full,1,9,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,312,NA,2026-03-07-19-20-46,2026-03-07-19-21-14,2026-03-07-19-19-25,2026-03-07-19-21-14
ccs,ratata01,right,right,full,1,10,p1,practice,motor_catch,NA,NA,NA,NA,NA,left,left,NA,0,157,catch_error,2026-03-07-19-20-46,2026-03-07-19-21-17,2026-03-07-19-19-25,2026-03-07-19-21-17
ccs,ratata01,right,right,full,1,11,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,372,NA,2026-03-07-19-20-46,2026-03-07-19-21-19,2026-03-07-19-19-25,2026-03-07-19-21-19
ccs,ratata01,right,right,full,1,12,p1,practice,motor,NA,NA,NA,NA,left,left,left,NA,1,396,NA,2026-03-07-19-20-46,2026-03-07-19-21-22,2026-03-07-19-19-25,2026-03-07-19-21-22
ccs,ratata01,right,right,full,1,1,b1,experimental,motor,NA,NA,NA,NA,left,left,left,left,1,396,NA,2026-03-07-19-21-40,2026-03-07-19-21-41,2026-03-07-19-19-25,2026-03-07-19-21-41
ccs,ratata01,right,right,full,1,2,b1,experimental,motor,NA,NA,NA,NA,left,left,left,left,1,428,NA,2026-03-07-19-21-40,2026-03-07-19-21-43,2026-03-07-19-19-25,2026-03-07-19-21-43
ccs,ratata01,right,right,full,1,3,b1,experimental,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-19-21-40,2026-03-07-19-21-47,2026-03-07-19-19-25,2026-03-07-19-21-47
ccs,ratata01,right,right,full,1,4,b1,experimental,motor,NA,NA,NA,NA,left,left,NA,left,0,2324,correct_delay_error,2026-03-07-19-21-40,2026-03-07-19-21-50,2026-03-07-19-19-25,2026-03-07-19-21-50
ccs,ratata01,right,right,full,1,5,b1,experimental,motor,NA,NA,NA,NA,left,left,NA,left,0,2298,correct_delay_error,2026-03-07-19-21-40,2026-03-07-19-21-54,2026-03-07-19-19-25,2026-03-07-19-21-54
ccs,ratata01,right,right,full,1,6,b1,experimental,motor,NA,NA,NA,NA,left,left,left,left,1,500,NA,2026-03-07-19-21-40,2026-03-07-19-21-56,2026-03-07-19-19-25,2026-03-07-19-21-56
ccs,ratata01,right,right,full,1,7,b1,experimental,motor,NA,NA,NA,NA,left,left,left,left,1,316,NA,2026-03-07-19-21-40,2026-03-07-19-21-58,2026-03-07-19-19-25,2026-03-07-19-21-58
