task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,type,condition,key_correct,key_response,stimulus_key_response,isi_key_response,joy_correct,joy_response,stimulus_joy_response,isi_joy_response,correct,reaction_time,error_type,start_time,end_time,global_start_time,global_end_time
ccs,sacalacas02,right,right,demo,2,1,p1,practice,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-56-59,2026-03-07-21-57-02,2026-03-07-21-56-48,2026-03-07-21-57-02
ccs,sacalacas02,right,right,demo,2,2,p1,practice,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-56-59,2026-03-07-21-57-04,2026-03-07-21-56-48,2026-03-07-21-57-04
ccs,sacalacas02,right,right,demo,2,3,p1,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-56-59,2026-03-07-21-57-06,2026-03-07-21-56-48,2026-03-07-21-57-06
ccs,sacalacas02,right,right,demo,2,4,p1,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-56-59,2026-03-07-21-57-07,2026-03-07-21-56-48,2026-03-07-21-57-07
ccs,sacalacas02,right,right,demo,2,5,b1,experimental,motor,k,k,k,NA,NA,NA,NA,NA,1,307,NA,2026-03-07-21-57-09,2026-03-07-21-57-11,2026-03-07-21-56-48,2026-03-07-21-57-11
ccs,sacalacas02,right,right,demo,2,6,b1,experimental,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-57-09,2026-03-07-21-57-13,2026-03-07-21-56-48,2026-03-07-21-57-13
ccs,sacalacas02,right,right,demo,2,7,b1,experimental,motor,k,k,NA,k,NA,NA,NA,NA,0,592,correct_delay_error,2026-03-07-21-57-09,2026-03-07-21-57-14,2026-03-07-21-56-48,2026-03-07-21-57-14
ccs,sacalacas02,right,right,demo,2,8,b1,experimental,motor,k,k,k,NA,NA,NA,NA,NA,1,431,NA,2026-03-07-21-57-09,2026-03-07-21-57-16,2026-03-07-21-56-48,2026-03-07-21-57-16
ccs,sacalacas02,right,right,demo,2,9,p2,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-57-19,2026-03-07-21-57-21,2026-03-07-21-56-48,2026-03-07-21-57-21
ccs,sacalacas02,right,right,demo,2,10,p2,practice,motor,d,k,k,NA,NA,NA,NA,NA,0,260,response_error,2026-03-07-21-57-19,2026-03-07-21-57-23,2026-03-07-21-56-48,2026-03-07-21-57-23
ccs,sacalacas02,right,right,demo,2,11,p2,practice,motor,d,k,k,NA,NA,NA,NA,NA,0,236,response_error,2026-03-07-21-57-19,2026-03-07-21-57-25,2026-03-07-21-56-48,2026-03-07-21-57-25
ccs,sacalacas02,right,right,demo,2,12,p2,practice,motor_catch,NA,d,NA,d,NA,NA,NA,NA,0,735,catch_delay_error,2026-03-07-21-57-19,2026-03-07-21-57-27,2026-03-07-21-56-48,2026-03-07-21-57-27
ccs,sacalacas02,right,right,demo,2,13,b2,experimental,motor,d,d,d,NA,NA,NA,NA,NA,1,219,NA,2026-03-07-21-57-28,2026-03-07-21-57-29,2026-03-07-21-56-48,2026-03-07-21-57-29
ccs,sacalacas02,right,right,demo,2,14,b2,experimental,motor,d,d,d,NA,NA,NA,NA,NA,1,199,NA,2026-03-07-21-57-28,2026-03-07-21-57-31,2026-03-07-21-56-48,2026-03-07-21-57-31
ccs,sacalacas02,right,right,demo,2,15,b2,experimental,motor,d,d,d,NA,NA,NA,NA,NA,1,255,NA,2026-03-07-21-57-28,2026-03-07-21-57-32,2026-03-07-21-56-48,2026-03-07-21-57-32
ccs,sacalacas02,right,right,demo,2,16,b2,experimental,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-57-28,2026-03-07-21-57-34,2026-03-07-21-56-48,2026-03-07-21-57-34
ccs,sacalacas02,right,right,demo,2,17,p3,practice,sensorimotor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-57-36,2026-03-07-21-57-39,2026-03-07-21-56-48,2026-03-07-21-57-39
ccs,sacalacas02,right,right,demo,2,18,p3,practice,sensorimotor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-57-36,2026-03-07-21-57-41,2026-03-07-21-56-48,2026-03-07-21-57-41
ccs,sacalacas02,right,right,demo,2,19,p3,practice,sensorimotor,d,k,NA,k,NA,NA,NA,NA,0,1279,incorrect_delay_error,2026-03-07-21-57-36,2026-03-07-21-57-43,2026-03-07-21-56-48,2026-03-07-21-57-43
ccs,sacalacas02,right,right,demo,2,20,p3,practice,sensorimotor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-57-36,2026-03-07-21-57-45,2026-03-07-21-56-48,2026-03-07-21-57-45
ccs,sacalacas02,right,right,demo,2,21,p3,practice,sensorimotor,k,k,NA,k,NA,NA,NA,NA,0,1289,correct_delay_error,2026-03-07-21-57-36,2026-03-07-21-57-48,2026-03-07-21-56-48,2026-03-07-21-57-48
ccs,sacalacas02,right,right,demo,2,22,p3,practice,sensorimotor_catch,NA,k,NA,k,NA,NA,NA,NA,0,740,catch_delay_error,2026-03-07-21-57-36,2026-03-07-21-57-50,2026-03-07-21-56-48,2026-03-07-21-57-50
ccs,sacalacas02,right,right,demo,2,23,b3,experimental,sensorimotor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-57-51,2026-03-07-21-57-53,2026-03-07-21-56-48,2026-03-07-21-57-53
ccs,sacalacas02,right,right,demo,2,24,b3,experimental,sensorimotor,d,k,k,NA,NA,NA,NA,NA,0,259,response_error,2026-03-07-21-57-51,2026-03-07-21-57-54,2026-03-07-21-56-48,2026-03-07-21-57-54
ccs,sacalacas02,right,right,demo,2,25,b3,experimental,sensorimotor,d,k,NA,k,NA,NA,NA,NA,0,733,incorrect_delay_error,2026-03-07-21-57-51,2026-03-07-21-57-56,2026-03-07-21-56-48,2026-03-07-21-57-56
ccs,sacalacas02,right,right,demo,2,26,b3,experimental,sensorimotor,k,k,k,NA,NA,NA,NA,NA,1,319,NA,2026-03-07-21-57-51,2026-03-07-21-57-58,2026-03-07-21-56-48,2026-03-07-21-57-58
