task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,type,condition,key_correct,key_response,stimulus_key_response,isi_key_response,joy_correct,joy_response,stimulus_joy_response,isi_joy_response,correct,reaction_time,error_type,start_time,end_time,global_start_time,global_end_time
ccs,sacarracalas01,right,right,demo,1,1,p1,practice,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-35-21,2026-03-07-21-35-24,2026-03-07-21-35-08,2026-03-07-21-35-24
ccs,sacarracalas01,right,right,demo,1,2,p1,practice,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-35-21,2026-03-07-21-35-26,2026-03-07-21-35-08,2026-03-07-21-35-26
ccs,sacarracalas01,right,right,demo,1,3,p1,practice,motor_catch,NA,k,NA,k,NA,NA,NA,NA,0,734,catch_delay_error,2026-03-07-21-35-21,2026-03-07-21-35-28,2026-03-07-21-35-08,2026-03-07-21-35-28
ccs,sacarracalas01,right,right,demo,1,4,p1,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-35-21,2026-03-07-21-35-30,2026-03-07-21-35-08,2026-03-07-21-35-30
ccs,sacarracalas01,right,right,demo,1,1,b1,experimental,motor,NA,NA,NA,NA,left,left,left,left,1,386,NA,2026-03-07-21-35-31,2026-03-07-21-35-33,2026-03-07-21-35-08,2026-03-07-21-35-33
ccs,sacarracalas01,right,right,demo,1,2,b1,experimental,motor,NA,NA,NA,NA,left,left,left,left,1,48,NA,2026-03-07-21-35-31,2026-03-07-21-35-35,2026-03-07-21-35-08,2026-03-07-21-35-35
ccs,sacarracalas01,right,right,demo,1,3,b1,experimental,motor,NA,NA,NA,NA,left,left,left,left,1,340,NA,2026-03-07-21-35-31,2026-03-07-21-35-36,2026-03-07-21-35-08,2026-03-07-21-35-36
ccs,sacarracalas01,right,right,demo,1,4,b1,experimental,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-35-31,2026-03-07-21-35-38,2026-03-07-21-35-08,2026-03-07-21-35-38
ccs,sacarracalas01,right,right,demo,1,1,p2,practice,motor,NA,NA,NA,NA,right,right,right,NA,1,328,NA,2026-03-07-21-35-41,2026-03-07-21-35-44,2026-03-07-21-35-08,2026-03-07-21-35-44
ccs,sacarracalas01,right,right,demo,1,2,p2,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-35-41,2026-03-07-21-35-45,2026-03-07-21-35-08,2026-03-07-21-35-45
