task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,type,condition,key_correct,key_response,stimulus_key_response,isi_key_response,joy_correct,joy_response,stimulus_joy_response,isi_joy_response,correct,reaction_time,error_type,start_time,end_time,global_start_time,global_end_time
ccs,trakas04,right,right,demo,2,1,p1,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-41-24,2026-03-07-21-41-26,2026-03-07-21-41-15,2026-03-07-21-41-26
ccs,trakas04,right,right,demo,2,2,p1,practice,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-41-24,2026-03-07-21-41-28,2026-03-07-21-41-15,2026-03-07-21-41-28
ccs,trakas04,right,right,demo,2,3,p1,practice,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-41-24,2026-03-07-21-41-31,2026-03-07-21-41-15,2026-03-07-21-41-31
ccs,trakas04,right,right,demo,2,4,p1,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-41-24,2026-03-07-21-41-32,2026-03-07-21-41-15,2026-03-07-21-41-32
ccs,trakas04,right,right,demo,2,1,b1,experimental,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-41-35,2026-03-07-21-41-37,2026-03-07-21-41-15,2026-03-07-21-41-37
ccs,trakas04,right,right,demo,2,2,b1,experimental,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-41-35,2026-03-07-21-41-38,2026-03-07-21-41-15,2026-03-07-21-41-38
ccs,trakas04,right,right,demo,2,3,b1,experimental,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-41-35,2026-03-07-21-41-40,2026-03-07-21-41-15,2026-03-07-21-41-40
ccs,trakas04,right,right,demo,2,4,b1,experimental,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-41-35,2026-03-07-21-41-42,2026-03-07-21-41-15,2026-03-07-21-41-42
ccs,trakas04,right,right,demo,2,1,p2,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-41-44,2026-03-07-21-41-46,2026-03-07-21-41-15,2026-03-07-21-41-46
ccs,trakas04,right,right,demo,2,2,p2,practice,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-41-44,2026-03-07-21-41-49,2026-03-07-21-41-15,2026-03-07-21-41-49
ccs,trakas04,right,right,demo,2,3,p2,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-41-44,2026-03-07-21-41-50,2026-03-07-21-41-15,2026-03-07-21-41-50
ccs,trakas04,right,right,demo,2,4,p2,practice,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-41-44,2026-03-07-21-41-53,2026-03-07-21-41-15,2026-03-07-21-41-53
ccs,trakas04,right,right,demo,2,1,b2,experimental,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-41-55,2026-03-07-21-41-56,2026-03-07-21-41-15,2026-03-07-21-41-56
ccs,trakas04,right,right,demo,2,2,b2,experimental,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-41-55,2026-03-07-21-41-58,2026-03-07-21-41-15,2026-03-07-21-41-58
ccs,trakas04,right,right,demo,2,3,b2,experimental,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-41-55,2026-03-07-21-42-00,2026-03-07-21-41-15,2026-03-07-21-42-00
