participant_id,trial_number,block,round,type,fixation_time,condition,version,difficulty,key_correct,hand,fixation_key_response,fixation_reaction_time_ms,stimulus_key_response,stimulus_reaction_time_ms,isi_key_response,isi_reaction_time_ms,correct,error_type,start_time,end_time
aaa,1,practice1_1,0,no_go,978,motor,1,22,,,,,,,,,True,,25/08/03 23:13:25,25/08/03 23:13:28
aaa,2,practice1_1,0,actual,1013,motor,1,13,v,left,,,v,318,,,True,,25/08/03 23:13:28,25/08/03 23:13:31
aaa,3,practice1_2,0,no_go,1197,motor,1,197,,,,,,,,,True,,25/08/03 23:13:32,25/08/03 23:13:35
aaa,4,practice1_2,0,actual,873,motor,1,127,v,left,,,,,,,False,no_response,25/08/03 23:13:35,25/08/03 23:13:37
aaa,5,practice1_1,0,no_go,978,motor,1,22,,,,,,,,,True,,25/08/03 23:13:38,25/08/03 23:13:41
aaa,6,practice1_1,0,actual,1013,motor,1,13,v,left,,,v,307,,,True,,25/08/03 23:13:41,25/08/03 23:13:43
aaa,7,practice1_2,0,no_go,1197,motor,1,197,,,,,,,,,True,,25/08/03 23:13:44,25/08/03 23:13:47
aaa,8,practice1_2,0,actual,873,motor,1,127,v,left,,,,,,,False,no_response,25/08/03 23:13:47,25/08/03 23:13:50
aaa,9,practice1_1,0,no_go,978,motor,1,22,,,,,,,,,True,,25/08/03 23:13:51,25/08/03 23:13:54
aaa,10,practice1_1,0,actual,1013,motor,1,13,v,left,,,v,378,,,True,,25/08/03 23:13:54,25/08/03 23:13:57
aaa,11,practice1_2,0,no_go,1197,motor,1,197,,,,,,,,,True,,25/08/03 23:13:58,25/08/03 23:14:01
aaa,12,practice1_2,0,actual,873,motor,1,127,v,left,,,v,315,,,True,,25/08/03 23:14:01,25/08/03 23:14:03
aaa,13,block1,0,actual,1099,motor,1,99,v,left,,,v,371,,,True,,25/08/03 23:14:05,25/08/03 23:14:07
aaa,14,block1,0,no_go,1032,motor,1,32,,,,,,,,,True,,25/08/03 23:14:07,25/08/03 23:14:08
aaa,15,practice2_1,0,no_go,1052,motor,1,52,,,,,,,,,True,,25/08/03 23:14:11,25/08/03 23:14:14
aaa,16,practice2_1,0,actual,1053,motor,1,53,m,right,,,m,295,,,True,,25/08/03 23:14:14,25/08/03 23:14:17
