participant_id,trial_number,block,round,type,fixation_time,condition,version,difficulty,key_correct,hand,fixation_key_response,fixation_reaction_time_ms,stimulus_key_response,stimulus_reaction_time_ms,isi_key_response,isi_reaction_time_ms,correct,error_type,start_time,end_time
alvin,1,practice1_1,1,actual,1069,motor,1,69,v,left,,,v,364,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,2,practice1_1,1,no_go,1126,motor,1,126,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,3,practice1_2,1,actual,932,motor,1,68,v,left,,,v,368,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,4,practice1_2,1,no_go,879,motor,1,121,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,5,block1,,no_go,1130,motor,1,130,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,6,block1,,actual,1172,motor,1,172,v,left,,,v,364,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,7,practice2_1,1,no_go,1115,motor,1,115,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,8,practice2_1,1,actual,827,motor,1,173,m,right,,,m,282,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,9,practice2_2,1,actual,1175,motor,1,175,m,right,,,m,329,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,10,practice2_2,1,no_go,941,motor,1,59,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,11,block2,,no_go,1184,motor,1,184,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,12,block2,,actual,1082,motor,1,82,m,right,,,m,345,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,13,practice3_1,1,no_go,1095,sensorimotor,1,95,,right,32,353,,,,,False,premature_error,25/07/15 02:17:48,25/07/15 02:20:08
alvin,14,practice3_1,1,actual,1055,sensorimotor,1,55,v,left,,,v,297,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,15,practice3_1,1,actual,1136,sensorimotor,1,136,m,right,,,m,249,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,16,practice3_2,1,actual,1003,sensorimotor,1,3,m,right,,,m,356,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,17,practice3_2,1,no_go,871,sensorimotor,1,129,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,18,practice3_2,1,actual,1151,sensorimotor,1,151,v,left,,,v,234,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,19,block3,,actual,981,sensorimotor,1,19,m,right,,,m,390,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,20,block3,,actual,1106,sensorimotor,1,106,v,left,,,v,341,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,21,block3,,no_go,813,sensorimotor,1,187,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,22,block4,,no_go,993,sensorimotor,1,7,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,23,block4,,actual,961,sensorimotor,1,39,v,left,,,v,404,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,24,block4,,actual,828,sensorimotor,1,172,m,right,,,m,316,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,25,practice4_1,1,actual,859,contextual,1,141,v,left,,,v,655,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,26,practice4_1,1,no_go,1021,contextual,1,21,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,27,practice4_2,1,no_go,1091,contextual,1,91,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,28,practice4_2,1,actual,835,contextual,1,165,m,right,,,,,,,False,no_response,25/07/15 02:17:48,25/07/15 02:20:08
alvin,29,practice4_1,2,actual,859,contextual,1,141,v,left,32,227,v,884,,,False,premature_error,25/07/15 02:17:48,25/07/15 02:20:08
alvin,30,practice4_1,2,no_go,1021,contextual,1,21,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,31,practice4_2,2,no_go,1091,contextual,1,91,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,32,practice4_2,2,actual,835,contextual,1,165,m,right,,,m,666,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,33,practice4_1,3,actual,859,contextual,1,141,v,left,,,,,,,False,no_response,25/07/15 02:17:48,25/07/15 02:20:08
alvin,34,practice4_1,3,no_go,1021,contextual,1,21,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,35,practice4_2,3,no_go,1091,contextual,1,91,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,36,practice4_2,3,actual,835,contextual,1,165,m,right,,,m,577,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,37,block5,,no_go,1086,contextual,1,86,,right,,,32,60,,,False,no_go_error,25/07/15 02:17:48,25/07/15 02:20:08
alvin,38,block5,,actual,1055,contextual,1,55,m,right,,,m,810,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
alvin,39,block5,,actual,1057,contextual,1,57,v,left,,,m,790,,,False,incorrect_response,25/07/15 02:17:48,25/07/15 02:20:08
alvin,40,block5,,no_go,930,contextual,1,70,,right,,,,,,,True,,25/07/15 02:17:48,25/07/15 02:20:08
