participant_id,trial_number,block,round,type,fixation_time,condition,version,difficulty,key_correct,hand,fixation_key_response,fixation_reaction_time_ms,stimulus_key_response,stimulus_reaction_time_ms,isi_key_response,isi_reaction_time_ms,correct,error_type,start_time,end_time,valid
alvinmioa,1,practice1_1,1,no_go,1182,motor,1,182,,,,,v,245,,,False,no_go_error,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,2,practice1_1,1,actual,1047,motor,1,47,v,left,,,v,234,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,3,practice1_2,1,actual,901,motor,1,99,v,left,,,v,369,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,4,practice1_2,1,no_go,856,motor,1,144,,,,,,,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,5,practice1_1,2,no_go,1182,motor,1,182,,,,,,,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,6,practice1_1,2,actual,1047,motor,1,47,v,left,,,v,213,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,7,practice1_2,2,actual,901,motor,1,99,v,left,,,v,334,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,8,practice1_2,2,no_go,856,motor,1,144,,,,,,,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,9,block1,,no_go,1075,motor,1,75,,,,,,,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,10,block1,,actual,1176,motor,1,176,v,left,,,v,266,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,11,practice2_1,1,actual,1031,motor,1,31,m,right,,,m,276,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,12,practice2_1,1,no_go,1107,motor,1,107,,,,,,,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,13,practice2_2,1,actual,972,motor,1,28,m,right,,,m,282,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,14,practice2_2,1,no_go,1143,motor,1,143,,,,,,,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,15,block2,,no_go,1109,motor,1,109,,,,,,,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
alvinmioa,16,block2,,actual,928,motor,1,72,m,right,,,m,350,,,True,,25/07/29 07:59:41,25/07/29 08:00:35,False
