participant_id,trial_number,block,round,type,fixation_time,condition,version,difficulty,key_correct,hand,fixation_key_response,fixation_reaction_time_ms,stimulus_key_response,stimulus_reaction_time_ms,isi_key_response,isi_reaction_time_ms,correct,error_type,start_time,end_time
aq,1,practice1_1,0,actual,928,motor,1,72,v,left,,,v,466,,,True,,25/08/03 23:18:56,25/08/03 23:18:59
aq,2,practice1_1,0,no_go,837,motor,1,163,,,,,,,,,True,,25/08/03 23:18:59,25/08/03 23:19:02
aq,3,practice1_2,0,no_go,1141,motor,1,141,,,,,,,,,True,,25/08/03 23:19:02,25/08/03 23:19:05
aq,4,practice1_2,0,actual,936,motor,1,64,v,left,,,v,291,,,True,,25/08/03 23:19:05,25/08/03 23:19:08
aq,5,block1,0,actual,1170,motor,1,170,v,left,,,v,295,,,True,,25/08/03 23:19:09,25/08/03 23:19:11
aq,6,block1,0,no_go,918,motor,1,82,,,,,,,,,True,,25/08/03 23:19:11,25/08/03 23:19:13
aq,7,practice2_1,0,no_go,1103,motor,1,103,,,,,,,,,True,,25/08/03 23:19:15,25/08/03 23:19:18
aq,8,practice2_1,0,actual,1169,motor,1,169,m,right,,,m,351,,,True,,25/08/03 23:19:18,25/08/03 23:19:21
aq,9,practice2_2,0,no_go,947,motor,1,53,,,,,,,,,True,,25/08/03 23:19:23,25/08/03 23:19:25
aq,10,practice2_2,0,actual,1011,motor,1,11,m,right,,,,,,,False,no_response,25/08/03 23:19:25,25/08/03 23:19:28
aq,11,practice2_1,0,no_go,1103,motor,1,103,,,,,,,,,True,,25/08/03 23:19:29,25/08/03 23:19:32
aq,12,practice2_1,0,actual,1169,motor,1,169,m,right,,,m,265,,,True,,25/08/03 23:19:32,25/08/03 23:19:35
aq,13,practice2_2,0,no_go,947,motor,1,53,,,,,,,,,True,,25/08/03 23:19:36,25/08/03 23:19:38
aq,14,practice2_2,0,actual,1011,motor,1,11,m,right,,,m,317,,,True,,25/08/03 23:19:38,25/08/03 23:19:41
aq,15,block2,0,no_go,939,motor,1,61,,,32,344,,,,,False,premature_error,25/08/03 23:19:43,25/08/03 23:19:44
aq,16,block2,0,actual,944,motor,1,56,m,right,,,m,348,,,True,,25/08/03 23:19:44,25/08/03 23:19:46
aq,17,practice3_1,0,no_go,871,sensorimotor,1,129,,,,,,,,,True,,25/08/03 23:19:49,25/08/03 23:19:52
aq,18,practice3_1,0,actual,821,sensorimotor,1,179,v,left,,,v,403,,,True,,25/08/03 23:19:52,25/08/03 23:19:54
aq,19,practice3_1,0,actual,996,sensorimotor,1,4,m,right,,,m,293,,,True,,25/08/03 23:19:54,25/08/03 23:19:57
aq,20,practice3_2,0,actual,1047,sensorimotor,1,47,m,right,,,m,449,,,True,,25/08/03 23:19:58,25/08/03 23:20:01
aq,21,practice3_2,0,actual,1029,sensorimotor,1,29,v,left,,,v,377,,,True,,25/08/03 23:20:01,25/08/03 23:20:04
aq,22,practice3_2,0,no_go,992,sensorimotor,1,8,,,,,,,,,True,,25/08/03 23:20:04,25/08/03 23:20:06
aq,23,block3,0,actual,1008,sensorimotor,1,8,m,right,,,m,447,,,True,,25/08/03 23:20:08,25/08/03 23:20:09
aq,24,block3,0,no_go,1055,sensorimotor,1,55,,,,,,,,,True,,25/08/03 23:20:09,25/08/03 23:20:11
aq,25,block3,0,actual,1161,sensorimotor,1,161,v,left,,,v,266,,,True,,25/08/03 23:20:11,25/08/03 23:20:13
aq,26,block4,0,actual,1189,sensorimotor,1,189,v,left,,,m,434,v,11,False,incorrect_response,25/08/03 23:20:16,25/08/03 23:20:18
aq,27,block4,0,no_go,852,sensorimotor,1,148,,,,,,,,,True,,25/08/03 23:20:18,25/08/03 23:20:19
aq,28,block4,0,actual,936,sensorimotor,1,64,m,right,,,m,251,,,True,,25/08/03 23:20:19,25/08/03 23:20:21
