participant_id,trial_number,block,round,type,fixation_time,condition,version,difficulty,key_correct,hand,fixation_key_response,fixation_reaction_time_ms,stimulus_key_response,stimulus_reaction_time_ms,isi_key_response,isi_reaction_time_ms,correct,error_type,start_time,end_time
www,1,practice1_1,0,no_go,1027,motor,1,27,,,,,,,,,True,,25/08/03 23:05:56,25/08/03 23:05:59
www,2,practice1_1,0,actual,1139,motor,1,139,v,left,,,v,324,,,True,,25/08/03 23:05:59,25/08/03 23:06:02
www,3,practice1_2,0,actual,1166,motor,1,166,v,left,,,v,433,,,True,,25/08/03 23:06:03,25/08/03 23:06:06
www,4,practice1_2,0,no_go,1091,motor,1,91,,,,,,,,,True,,25/08/03 23:06:06,25/08/03 23:06:09
www,5,block1,0,no_go,1114,motor,1,114,,,,,,,,,True,,25/08/03 23:06:10,25/08/03 23:06:12
www,6,block1,0,actual,1094,motor,1,94,v,left,,,v,315,,,True,,25/08/03 23:06:12,25/08/03 23:06:14
www,7,practice2_1,0,no_go,1155,motor,1,155,,,,,,,,,True,,25/08/03 23:06:17,25/08/03 23:06:20
www,8,practice2_1,0,actual,1115,motor,1,115,m,right,,,,,,,False,no_response,25/08/03 23:06:20,25/08/03 23:06:22
www,9,practice2_2,0,actual,1098,motor,1,98,m,right,,,m,299,,,True,,25/08/03 23:06:23,25/08/03 23:06:26
www,10,practice2_2,0,no_go,1119,motor,1,119,,,,,,,,,True,,25/08/03 23:06:26,25/08/03 23:06:29
www,11,practice2_1,0,no_go,1155,motor,1,155,,,,,,,,,True,,25/08/03 23:06:30,25/08/03 23:06:33
www,12,practice2_1,0,actual,1115,motor,1,115,m,right,,,m,340,,,True,,25/08/03 23:06:33,25/08/03 23:06:36
www,13,practice2_2,0,actual,1098,motor,1,98,m,right,,,m,469,,,True,,25/08/03 23:06:37,25/08/03 23:06:40
www,14,practice2_2,0,no_go,1119,motor,1,119,,,,,,,,,True,,25/08/03 23:06:40,25/08/03 23:06:43
www,15,block2,0,actual,944,motor,1,56,m,right,,,v,437,m,137,False,incorrect_response,25/08/03 23:06:44,25/08/03 23:06:46
www,16,block2,0,no_go,949,motor,1,51,,,,,,,,,True,,25/08/03 23:06:46,25/08/03 23:06:48
www,17,practice3_1,0,no_go,992,sensorimotor,1,8,,,,,,,,,True,,25/08/03 23:06:51,25/08/03 23:06:54
www,18,practice3_1,0,actual,1091,sensorimotor,1,91,v,left,,,v,386,,,True,,25/08/03 23:06:54,25/08/03 23:06:57
