participant_id,valid,block,item_number,type,delay_time,condition,difficulty,fixation_cross_key_response,fixation_cross_reaction_time_ms,response_key_response,response_reaction_time_ms,ISI_key_response,ISI_reaction_time_ms,error_type,reaction_time_ms
motor-no-repeat,False,actual,1,actual,1127,motor,1127,,,v,333,,,,333
motor-no-repeat,False,actual,2,actual,906,motor,906,,,v,305,,,,305
motor-no-repeat,False,actual,3,catch,914,motor,914,,,,,v,285,catch_delay_error,
motor-no-repeat,False,actual,4,actual,888,motor,888,,,v,277,,,,277
motor-no-repeat,False,actual,5,actual,837,motor,837,,,v,270,,,,270
motor-no-repeat,False,actual,6,actual,1128,motor,1128,,,v,234,,,,234
motor-no-repeat,False,actual,7,actual,839,motor,839,,,v,283,,,,283
motor-no-repeat,False,actual,8,actual,1115,motor,1115,,,v,264,,,,264
motor-no-repeat,False,actual,9,actual,915,motor,915,,,v,260,,,,260
motor-no-repeat,False,actual,10,actual,906,motor,906,,,v,256,,,,256
