participant_id,valid,block,item_number,type,delay_time,condition,difficulty,fixation_cross_key_response,fixation_cross_reaction_time_ms,response_key_response,response_reaction_time_ms,ISI_key_response,ISI_reaction_time_ms,error_type,reaction_time_ms
motor-no-repeat,False,practice1,1,actual,1045,motor,1045,,,v,290,,,,290
motor-no-repeat,False,practice1,2,actual,1083,motor,1083,,,v,315,,,,315
motor-no-repeat,False,practice1,3,actual,1021,motor,1021,v,434,v,797,,,premature_error,797
motor-no-repeat,False,practice1,4,actual,865,motor,865,,,v,333,v,207,delay_error,333
motor-no-repeat,False,practice1,5,actual,943,motor,943,,,v,338,,,,338
motor-no-repeat,False,practice1,6,actual,1048,motor,1048,,,v,319,,,,319
motor-no-repeat,False,practice1,7,actual,920,motor,920,,,v,299,,,,299
motor-no-repeat,False,practice1,8,actual,1047,motor,1047,,,v,300,,,,300
motor-no-repeat,False,practice1,9,catch,886,motor,886,,,,,,,,
motor-no-repeat,False,practice1,10,actual,864,motor,864,,,v,323,,,,323
