participant_id,valid,block,item_number,type,delay_time,condition,difficulty,fixation_cross_key_response,fixation_cross_reaction_time_ms,response_key_response,response_reaction_time_ms,ISI_key_response,ISI_reaction_time_ms,error_type
motor,True,practice,1,actual,1124,motor,1124,,,v,252,,,
motor,True,practice,2,actual,1176,motor,1176,v,999,v,342,,,premature_error
motor,True,practice,3,actual,1026,motor,1026,v,961,v,159,,,premature_error
motor,True,practice,4,actual,926,motor,926,v,537,v,581,,,premature_error
motor,True,practice,5,actual,895,motor,895,v,316,v,1464,,,premature_error
motor,True,practice,6,actual,1100,motor,1100,v,619,,,v,406,premature_error
motor,True,practice,7,catch,1194,motor,1194,,,,,,,
motor,True,practice,8,actual,1193,motor,1193,v,1114,v,932,,,premature_error
motor,True,practice,9,actual,800,motor,800,,,v,299,,,
motor,True,practice,10,actual,1124,motor,1124,,,v,23,,,
