participant_id,version,mode,item_number,block,object_id,rotation_angle,different,condition,difficulty,stimuli_path,key_correct,key_response,correct,reaction_time_ms,start_time,end_time,break_duration_ms
alvin,1,demo,1,practice,F,-75,False,normal,75,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/5.png,v,d,0,1139,2025-08-03 23:29:30,2025-08-03 23:29:35,0
alvin,1,demo,3,practice,J,135,False,normal,135,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/4.png,v,k,0,533,2025-08-03 23:29:30,2025-08-03 23:29:38,0
alvin,1,demo,5,practice,R,-135,True,mirrored,135,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/2.png,m,d,0,370,2025-08-03 23:29:30,2025-08-03 23:29:40,0
alvin,1,demo,7,practice,F,-45,True,mirrored,45,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/1.png,m,k,0,371,2025-08-03 23:29:30,2025-08-03 23:29:42,0
alvin,1,demo,9,practice,J,-135,False,normal,135,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/3.png,v,,0,7500,2025-08-03 23:29:30,2025-08-03 23:29:51,0
alvin,1,demo,1,practice,F,-45,True,mirrored,45,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/1.png,m,k,0,898,2025-08-03 23:34:46,2025-08-03 23:34:51,0
alvin,1,demo,3,practice,F,-75,False,normal,75,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/5.png,v,d,0,266,2025-08-03 23:34:46,2025-08-03 23:34:53,0
alvin,1,demo,5,practice,J,135,False,normal,135,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/4.png,v,d,0,19,2025-08-03 23:34:46,2025-08-03 23:34:55,0
alvin,1,demo,7,practice,J,-135,False,normal,135,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/3.png,v,d,0,360,2025-08-03 23:34:46,2025-08-03 23:34:57,0
alvin,1,demo,9,practice,R,-135,True,mirrored,135,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/2.png,m,k,0,711,2025-08-03 23:34:46,2025-08-03 23:34:59,0
alvin,1,demo,6,block1,F,135,False,normal,135,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/short_test_images/10.png,v,k,0,893,2025-08-03 23:34:46,2025-08-03 23:35:03,0
alvin,1,demo,8,block1,J,-75,False,normal,75,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/short_test_images/8.png,v,d,0,942,2025-08-03 23:34:46,2025-08-03 23:35:05,0
alvin,1,demo,10,block1,J,-105,False,normal,105,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/short_test_images/4.png,v,d,0,482,2025-08-03 23:34:46,2025-08-03 23:35:06,0
alvin,1,demo,12,block1,G,15,True,mirrored,15,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/mental_rotation/bidimensional_mental_rotation/stimuli/images/short_test_images/7.png,m,k,0,531,2025-08-03 23:34:46,2025-08-03 23:35:08,0
