participant_id,version,mode,item_number,block,type,letter_name,rotation_angle,mirrored,condition,difficulty,stimuli_path,key_correct,key_response,correct,reaction_time_ms,start_time,end_time,break_duration_ms
amanda2,2,full,1,practice,practice,F,-45,False,mirrored,45,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/1.png,d,,0,5000,2025-08-17 14:18:19,2025-08-17 14:18:41,0
amanda2,2,full,3,practice,practice,F,-75,False,normal,75,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/5.png,k,,0,5000,2025-08-17 14:18:19,2025-08-17 14:18:48,0
amanda2,2,full,5,practice,practice,J,-135,False,normal,135,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/3.png,k,,0,5000,2025-08-17 14:18:19,2025-08-17 14:18:54,0
amanda2,2,full,7,practice,practice,R,-135,False,mirrored,135,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/2.png,d,k,0,2258,2025-08-17 14:18:19,2025-08-17 14:18:58,0
amanda2,2,full,9,practice,practice,J,135,False,normal,135,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/demo_images/4.png,k,k,1,588,2025-08-17 14:18:19,2025-08-17 14:19:01,0
amanda2,2,full,6,block1,test,J,135,False,mirrored,135,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/45.png,d,,0,5000,2025-08-17 14:18:19,2025-08-17 14:19:16,0
amanda2,2,full,8,block1,test,R,-75,False,mirrored,75,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/11.png,d,,0,5981,2025-08-17 14:18:19,2025-08-17 14:19:23,0
amanda2,2,full,10,block1,test,R,15,False,mirrored,15,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/24.png,d,,0,5000,2025-08-17 14:18:19,2025-08-17 14:19:29,0
amanda2,2,full,12,block1,test,G,-75,False,mirrored,75,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/13.png,d,,0,5000,2025-08-17 14:18:19,2025-08-17 14:19:34,0
amanda2,2,full,14,block1,test,F,-45,False,normal,45,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/6.png,k,,0,5000,2025-08-17 14:18:19,2025-08-17 14:19:40,0
amanda2,2,full,16,block1,test,R,135,False,normal,135,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/16.png,k,,0,5000,2025-08-17 14:18:19,2025-08-17 14:19:46,0
amanda2,2,full,18,block1,test,J,-75,False,mirrored,75,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/3.png,d,,0,5000,2025-08-17 14:18:19,2025-08-17 14:19:52,0
amanda2,2,full,20,block1,test,F,-75,False,mirrored,75,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/37.png,d,,0,5000,2025-08-17 14:18:19,2025-08-17 14:19:57,0
amanda2,2,full,22,block1,test,F,-105,False,mirrored,105,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/22.png,d,,0,5000,2025-08-17 14:18:19,2025-08-17 14:20:03,0
amanda2,2,full,24,block1,test,R,45,False,normal,45,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/18.png,k,k,1,132,2025-08-17 14:18:19,2025-08-17 14:20:04,0
amanda2,2,full,26,block1,test,J,45,False,normal,45,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/bidimensional_mental_rotation/stimuli/images/test_images/19.png,k,k,1,2,2025-08-17 14:18:19,2025-08-17 14:20:05,0
