participant_id,version,mode,item_number,block,object_id,rotation_angle,different,condition,difficulty,stimuli_path,key_correct,key_response,correct,reaction_time_ms,start_time,end_time,break_duration_ms
amanda,1,demo,1,practice,33,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/2.jpg,j,j,1,2759,2025-07-27 19:55:34,2025-07-27 19:55:52,0
amanda,1,demo,3,practice,46,150,False,same,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/4.jpg,f,f,1,4598,2025-07-27 19:55:34,2025-07-27 19:55:58,0
amanda,1,demo,5,practice,32,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/1.jpg,j,j,1,2300,2025-07-27 19:55:34,2025-07-27 19:56:02,0
amanda,1,demo,7,practice,4,100,True,different,100,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/3.jpg,j,j,1,3602,2025-07-27 19:55:34,2025-07-27 19:56:07,0
amanda,1,demo,9,practice,26,150,True,different,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/5.jpg,j,f,0,2599,2025-07-27 19:55:34,2025-07-27 19:56:12,0
amanda,1,demo,6,block1,16,0,False,same,0,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/7.jpg,f,f,1,2203,2025-07-27 19:55:34,2025-07-27 19:56:20,0
amanda,1,demo,8,block1,21,150,False,same,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/2.jpg,f,f,1,6337,2025-07-27 19:55:34,2025-07-27 19:56:27,0
amanda,1,demo,10,block1,18,100,False,same,100,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/5.jpg,f,f,1,5117,2025-07-27 19:55:34,2025-07-27 19:56:33,0
amanda,1,demo,12,block1,4,150,True,different,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/10.jpg,j,j,1,3101,2025-07-27 19:55:34,2025-07-27 19:56:37,0
amanda,1,demo,14,block1,6,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/9.jpg,j,j,1,3527,2025-07-27 19:55:34,2025-07-27 19:56:42,0
amanda,1,demo,16,block1,7,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/8.jpg,j,j,1,3262,2025-07-27 19:55:34,2025-07-27 19:56:46,0
amanda,1,demo,18,block1,13,100,True,different,100,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/3.jpg,j,j,1,4639,2025-07-27 19:55:34,2025-07-27 19:56:51,0
amanda,1,demo,20,block1,8,0,False,same,0,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/short_test1_images/4.jpg,f,f,1,3189,2025-07-27 19:55:34,2025-07-27 19:56:55,0
