task,participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,start_time,end_time,signal_detection,letter_presented
nBack,ctrl01,right,right,actual,1,1,p1,practice,1_back,,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:54:40.327770,null,nb_k
nBack,ctrl01,right,right,actual,1,2,p1,practice,1_back,space,space,NA,NA,1,635,2026-02-03T17:53:37.807482,2026-02-03T17:54:43.348427,hit,nb_k
nBack,ctrl01,right,right,actual,1,3,p1,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:54:46.372893,correct_rejection,nb_j
nBack,ctrl01,right,right,actual,1,4,p1,practice,1_back,space,space,NA,NA,1,874,2026-02-03T17:53:37.807482,2026-02-03T17:54:49.393235,hit,nb_j
nBack,ctrl01,right,right,actual,1,5,p1,practice,1_back,none,space,NA,NA,0,536,2026-02-03T17:53:37.807482,2026-02-03T17:54:52.416271,false_alarm,nb_s
nBack,ctrl01,right,right,actual,1,6,p1,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:54:55.436130,correct_rejection,nb_m
nBack,ctrl01,right,right,actual,1,7,p1,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:54:58.456096,correct_rejection,nb_k
nBack,ctrl01,right,right,actual,1,8,p1,practice,1_back,space,space,NA,NA,1,771,2026-02-03T17:53:37.807482,2026-02-03T17:55:01.477957,hit,nb_k
nBack,ctrl01,right,right,actual,1,9,p1,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:55:04.498961,correct_rejection,nb_h
nBack,ctrl01,right,right,actual,1,10,p1,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:55:07.518898,correct_rejection,nb_j
nBack,ctrl01,right,right,actual,1,11,p2,practice,1_back,,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:55:14.406797,null,nb_j
nBack,ctrl01,right,right,actual,1,12,p2,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:55:17.427681,correct_rejection,nb_l
nBack,ctrl01,right,right,actual,1,13,p2,practice,1_back,space,space,NA,NA,1,831,2026-02-03T17:53:37.807482,2026-02-03T17:55:20.447741,hit,nb_l
nBack,ctrl01,right,right,actual,1,14,p2,practice,1_back,space,space,NA,NA,1,984,2026-02-03T17:53:37.807482,2026-02-03T17:55:23.467610,hit,nb_l
nBack,ctrl01,right,right,actual,1,15,p2,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:55:26.489505,correct_rejection,nb_d
nBack,ctrl01,right,right,actual,1,16,p2,practice,1_back,space,space,NA,NA,1,1465,2026-02-03T17:53:37.807482,2026-02-03T17:55:29.511535,hit,nb_d
nBack,ctrl01,right,right,actual,1,17,p2,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:55:32.530401,correct_rejection,nb_f
nBack,ctrl01,right,right,actual,1,18,p2,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:55:35.550357,correct_rejection,nb_s
nBack,ctrl01,right,right,actual,1,19,p2,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:55:38.569277,correct_rejection,nb_j
nBack,ctrl01,right,right,actual,1,20,p2,practice,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:55:41.590225,correct_rejection,nb_v
nBack,ctrl01,right,right,actual,1,21,b1,experimental,1_back,,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:02.437876,null,nb_h
nBack,ctrl01,right,right,actual,1,22,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:05.458965,correct_rejection,nb_t
nBack,ctrl01,right,right,actual,1,23,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:08.482793,correct_rejection,nb_j
nBack,ctrl01,right,right,actual,1,24,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:11.502793,correct_rejection,nb_f
nBack,ctrl01,right,right,actual,1,25,b1,experimental,1_back,space,space,NA,NA,1,534,2026-02-03T17:53:37.807482,2026-02-03T17:56:14.522671,hit,nb_f
nBack,ctrl01,right,right,actual,1,26,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:17.543620,correct_rejection,nb_m
nBack,ctrl01,right,right,actual,1,27,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:20.562591,correct_rejection,nb_l
nBack,ctrl01,right,right,actual,1,28,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:23.582532,correct_rejection,nb_f
nBack,ctrl01,right,right,actual,1,29,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:26.602485,correct_rejection,nb_t
nBack,ctrl01,right,right,actual,1,30,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:29.623645,correct_rejection,nb_f
nBack,ctrl01,right,right,actual,1,31,b1,experimental,1_back,space,space,NA,NA,1,361,2026-02-03T17:53:37.807482,2026-02-03T17:56:32.644470,hit,nb_f
nBack,ctrl01,right,right,actual,1,32,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:35.664392,correct_rejection,nb_t
nBack,ctrl01,right,right,actual,1,33,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:38.686279,correct_rejection,nb_j
nBack,ctrl01,right,right,actual,1,34,b1,experimental,1_back,space,space,NA,NA,1,530,2026-02-03T17:53:37.807482,2026-02-03T17:56:41.706330,hit,nb_j
nBack,ctrl01,right,right,actual,1,35,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:44.728184,correct_rejection,nb_d
nBack,ctrl01,right,right,actual,1,36,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:47.748108,correct_rejection,nb_m
nBack,ctrl01,right,right,actual,1,37,b1,experimental,1_back,space,space,NA,NA,1,501,2026-02-03T17:53:37.807482,2026-02-03T17:56:50.768970,hit,nb_m
nBack,ctrl01,right,right,actual,1,38,b1,experimental,1_back,none,none,NA,NA,1,,2026-02-03T17:53:37.807482,2026-02-03T17:56:53.788922,correct_rejection,nb_j
nBack,ctrl01,right,right,actual,1,39,b1,experimental,1_back,space,space,NA,NA,1,743,2026-02-03T17:53:37.807482,2026-02-03T17:56:56.811067,hit,nb_j
nBack,ctrl01,right,right,actual,1,40,b1,experimental,1_back,space,space,NA,NA,1,821,2026-02-03T17:53:37.807482,2026-02-03T17:56:59.830830,hit,nb_j
