participant_id,trial_number,block,type,condition,version,difficulty,correct,response_time_ms,error_type,start_time,end_time
amanda100,1,PRACTICE1,1-back,1-back,2,1-back,nogo,,,2025-10-12T16:24:37.172658,2025-10-12T16:25:08.176523
amanda100,2,PRACTICE1,1-back,1-back,2,1-back,same,2715,,2025-10-12T16:24:37.172658,2025-10-12T16:25:11.904375
amanda100,3,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:25:15.912350
amanda100,4,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:25:19.920404
amanda100,5,PRACTICE1,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T16:24:37.172658,2025-10-12T16:25:23.969467
amanda100,6,PRACTICE1,1-back,1-back,2,1-back,different,450,response error,2025-10-12T16:24:37.172658,2025-10-12T16:25:26.976378
amanda100,7,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:25:31.003652
amanda100,8,PRACTICE1,1-back,1-back,2,1-back,same,1290,,2025-10-12T16:24:37.172658,2025-10-12T16:25:34.011754
amanda100,9,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:25:38.049331
amanda100,10,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:25:42.059444
amanda100,11,BLOCK1,1-back,1-back,2,1-back,nogo,,,2025-10-12T16:24:37.172658,2025-10-12T16:25:57.754346
amanda100,12,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:26:00.760435
amanda100,13,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:26:03.768938
amanda100,14,BLOCK1,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T16:24:37.172658,2025-10-12T16:26:06.805364
amanda100,15,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:26:09.818889
amanda100,16,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:26:12.827354
amanda100,17,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:26:15.846351
amanda100,18,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:26:18.873379
amanda100,19,BLOCK1,1-back,1-back,2,1-back,same,396,,2025-10-12T16:24:37.172658,2025-10-12T16:26:21.893290
amanda100,20,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:26:24.907381
amanda100,21,BLOCK1,1-back,1-back,2,1-back,different,460,response error,2025-10-12T16:24:37.172658,2025-10-12T16:26:27.925087
amanda100,22,BLOCK1,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T16:24:37.172658,2025-10-12T16:26:30.948423
amanda100,23,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T16:24:37.172658,2025-10-12T16:26:33.954617
