participant_id,trial_number,block,type,condition,version,difficulty,correct,response_time_ms,error_type,start_time,end_time
amanda200,1,PRACTICE1,1-back,1-back,2,1-back,nogo,,,2025-10-12T16:37:17.282567,2025-10-12T16:38:48.937288
amanda200,2,PRACTICE1,1-back,1-back,2,1-back,same,750,,2025-10-12T16:37:17.282567,2025-10-12T16:38:51.946467
amanda200,3,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:37:17.282567,2025-10-12T16:38:55.956092
amanda200,4,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:37:17.282567,2025-10-12T16:38:59.972280
amanda200,5,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:37:17.282567,2025-10-12T16:39:03.985167
amanda200,6,PRACTICE1,1-back,1-back,2,1-back,same,852,,2025-10-12T16:37:17.282567,2025-10-12T16:39:07.037438
amanda200,7,PRACTICE1,1-back,1-back,2,1-back,same,838,,2025-10-12T16:37:17.282567,2025-10-12T16:39:10.062270
amanda200,8,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:37:17.282567,2025-10-12T16:39:14.069481
amanda200,9,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:37:17.282567,2025-10-12T16:39:18.078767
amanda200,10,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T16:37:17.282567,2025-10-12T16:39:22.118775
