participant_id,trial_number,block,type,stimuli_path,condition,key_correct,key_response,correct,RT,trialDuration,start_time,end_time
amanda3000,1,PRACTICE1,practice,attneave_10.png,nonmatch,none,none,correct,,3000,2025-10-12T19:06:09.898792,2025-10-12T19:06:32.471118
amanda3000,2,PRACTICE1,practice,attneave_10.png,match,space,space,correct,801,1806,2025-10-12T19:06:09.898792,2025-10-12T19:06:34.283049
amanda3000,3,PRACTICE1,practice,attneave_2.png,nonmatch,none,none,correct,,3018,2025-10-12T19:06:09.898792,2025-10-12T19:06:37.314880
amanda3000,4,PRACTICE1,practice,attneave_2.png,match,space,space,correct,527,1536,2025-10-12T19:06:09.898792,2025-10-12T19:06:38.856103
amanda3000,5,PRACTICE1,practice,attneave_3.png,nonmatch,none,none,correct,,3004,2025-10-12T19:06:09.898792,2025-10-12T19:06:41.881234
amanda3000,6,PRACTICE1,practice,attneave_3.png,match,space,space,correct,1298,2304,2025-10-12T19:06:09.898792,2025-10-12T19:06:44.209236
amanda3000,7,PRACTICE1,practice,attneave_4.png,nonmatch,none,none,correct,,3007,2025-10-12T19:06:09.898792,2025-10-12T19:06:47.221138
amanda3000,8,PRACTICE1,practice,attneave_5.png,nonmatch,none,space,incorrect,1209,2217,2025-10-12T19:06:09.898792,2025-10-12T19:06:49.448140
amanda3000,9,PRACTICE1,practice,attneave_6.png,nonmatch,none,none,correct,,3003,2025-10-12T19:06:09.898792,2025-10-12T19:06:52.464314
amanda3000,10,PRACTICE1,practice,attneave_8.png,nonmatch,none,none,correct,,3002,2025-10-12T19:06:09.898792,2025-10-12T19:06:55.490177
amanda3000,11,BLOCK1,null,attneave_2.png,nonmatch,none,none,correct,,3002,2025-10-12T19:06:09.898792,2025-10-12T19:07:02.703165
amanda3000,12,BLOCK1,test,attneave_6.png,nonmatch,none,space,incorrect,622,3002,2025-10-12T19:06:09.898792,2025-10-12T19:07:05.709180
amanda3000,13,BLOCK1,test,attneave_6.png,match,space,space,correct,687,3002,2025-10-12T19:06:09.898792,2025-10-12T19:07:08.715303
amanda3000,14,BLOCK1,test,attneave_6.png,match,space,space,correct,669,3004,2025-10-12T19:06:09.898792,2025-10-12T19:07:11.735271
amanda3000,15,BLOCK1,test,attneave_10.png,nonmatch,none,none,correct,,3016,2025-10-12T19:06:09.898792,2025-10-12T19:07:14.758564
amanda3000,16,BLOCK1,test,attneave_6.png,nonmatch,none,none,correct,,3000,2025-10-12T19:06:09.898792,2025-10-12T19:07:17.783269
amanda3000,17,BLOCK1,test,attneave_9.png,nonmatch,none,none,correct,,3021,2025-10-12T19:06:09.898792,2025-10-12T19:07:20.813602
amanda3000,18,BLOCK1,test,attneave_9.png,match,space,space,correct,664,3004,2025-10-12T19:06:09.898792,2025-10-12T19:07:23.854259
amanda3000,19,BLOCK1,test,attneave_7.png,nonmatch,none,none,correct,,3002,2025-10-12T19:06:09.898792,2025-10-12T19:07:26.863936
amanda3000,20,BLOCK1,test,attneave_7.png,match,space,space,correct,655,3001,2025-10-12T19:06:09.898792,2025-10-12T19:07:29.872412
amanda3000,21,BLOCK1,test,attneave_8.png,nonmatch,none,none,correct,,3004,2025-10-12T19:06:09.898792,2025-10-12T19:07:32.882394
amanda3000,22,BLOCK1,test,attneave_1.png,nonmatch,none,none,correct,,3001,2025-10-12T19:06:09.898792,2025-10-12T19:07:35.899387
amanda3000,23,BLOCK1,test,attneave_3.png,nonmatch,none,none,correct,,3002,2025-10-12T19:06:09.898792,2025-10-12T19:07:38.906518
amanda3000,24,BLOCK1,test,attneave_9.png,nonmatch,none,none,correct,,3003,2025-10-12T19:06:09.898792,2025-10-12T19:07:41.918502
amanda3000,25,BLOCK1,test,attneave_4.png,nonmatch,none,none,correct,,3003,2025-10-12T19:06:09.898792,2025-10-12T19:07:44.927424
amanda3000,26,BLOCK1,test,attneave_2.png,nonmatch,none,none,correct,,3001,2025-10-12T19:06:09.898792,2025-10-12T19:07:47.941360
amanda3000,27,BLOCK1,test,attneave_2.png,match,space,space,correct,782,3003,2025-10-12T19:06:09.898792,2025-10-12T19:07:50.948946
amanda3000,28,BLOCK1,test,attneave_5.png,nonmatch,none,none,correct,,3002,2025-10-12T19:06:09.898792,2025-10-12T19:07:53.961371
amanda3000,29,BLOCK1,test,attneave_7.png,nonmatch,none,none,correct,,3003,2025-10-12T19:06:09.898792,2025-10-12T19:07:56.995945
amanda3000,30,BLOCK1,test,attneave_7.png,match,space,space,correct,677,3003,2025-10-12T19:06:09.898792,2025-10-12T19:08:00.016401
amanda3000,31,BLOCK1,test,attneave_6.png,nonmatch,none,none,correct,,3002,2025-10-12T19:06:09.898792,2025-10-12T19:08:03.024546
amanda3000,32,BLOCK2,null,attneave_3.png,nonmatch,none,space,incorrect,846,3001,2025-10-12T19:06:09.898792,2025-10-12T19:08:11.807525
amanda3000,33,BLOCK2,test,attneave_3.png,match,space,space,correct,255,4829,2025-10-12T19:06:09.898792,2025-10-12T19:08:16.641599
