participant_id,trial_number,block,condition,version,difficulty,key_correct,hand,key_response,correct,error_type,iv,response_time,start_time,end_time
AAAA01,1,PRACTICE1,duration,1,SAME,k,,k,1,,0.56 ms,655.00 ms,2025-10-10T14:10:16.416070,2025-10-10T14:10:26.101308
AAAA01,2,PRACTICE1,duration,1,SAME,d,,d,1,,0.24 ms,400.00 ms,2025-10-10T14:10:16.416070,2025-10-10T14:10:29.159834
AAAA01,3,BLOCK1,duration,1,SAME,k,,d,0,response_error,0.24 ms,750.00 ms,2025-10-10T14:10:16.416070,2025-10-10T14:10:33.472816
AAAA01,4,BLOCK2,duration,1,SAME,k,,k,1,,0.56 ms,500.00 ms,2025-10-10T14:10:16.416070,2025-10-10T14:10:38.492029
AAAA01,5,PRACTICE2,loudness,1,SAME,k,,k,1,,0.66 amps,360.00ms,2025-10-10T14:10:16.416070,2025-10-10T14:10:45.365066
AAAA01,6,PRACTICE2,loudness,1,SAME,k,,k,1,,0.66 amps,440.00ms,2025-10-10T14:10:16.416070,2025-10-10T14:10:48.622437
AAAA01,7,BLOCK3,loudness,1,SAME,d,,d,1,,0.34 amps,350.00ms,2025-10-10T14:10:16.416070,2025-10-10T14:10:52.631869
AAAA01,8,BLOCK3,loudness,1,SAME,k,,k,1,,0.66 amps,260.00ms,2025-10-10T14:10:16.416070,2025-10-10T14:10:54.726146
AAAA01,9,BLOCK3,loudness,1,SAME,k,,k,1,,0.66 amps,25.00ms,2025-10-10T14:10:16.416070,2025-10-10T14:10:56.574064
AAAA01,10,BLOCK3,loudness,1,SAME,d,,,0,response_error,0.66 amps,90.00ms,2025-10-10T14:10:16.416070,2025-10-10T14:10:58.485502
AAAA01,11,BLOCK3,loudness,1,SAME,k,,k,1,,0.66 amps,1190.00ms,2025-10-10T14:10:16.416070,2025-10-10T14:11:01.496906
AAAA01,12,BLOCK3,loudness,1,SAME,d,,,0,response_error,0.66 amps,765.00ms,2025-10-10T14:10:16.416070,2025-10-10T14:11:04.082889
