participant_id,trial_number,block,condition,version,difficulty,key_correct,hand,key_response,correct,error_type,iv,response_time,start_time,end_time
BBBB01,1,PRACTICE1,duration,1,SAME,k,,k,1,,0.56 ms,485.00 ms,2025-10-10T14:12:42.911785,2025-10-10T14:12:52.817033
BBBB01,2,PRACTICE1,duration,1,SAME,d,,d,1,,0.24 ms,475.00 ms,2025-10-10T14:12:42.911785,2025-10-10T14:12:55.949915
BBBB01,3,BLOCK1,duration,1,SAME,k,,k,1,,0.56 ms,90.00 ms,2025-10-10T14:12:42.911785,2025-10-10T14:13:00.155251
BBBB01,4,BLOCK2,duration,1,SAME,d,,d,1,,0.24 ms,300.00 ms,2025-10-10T14:12:42.911785,2025-10-10T14:13:04.793263
BBBB01,5,PRACTICE2,loudness,1,SAME,k,,k,1,,0.66 amps,265.00ms,2025-10-10T14:12:42.911785,2025-10-10T14:13:10.728525
BBBB01,6,PRACTICE2,loudness,1,SAME,d,,d,1,,0.34 amps,405.00ms,2025-10-10T14:12:42.911785,2025-10-10T14:13:13.952978
BBBB01,7,BLOCK3,loudness,1,SAME,d,,,0,response_error,0.66 amps,400.00ms,2025-10-10T14:12:42.911785,2025-10-10T14:13:18.144612
BBBB01,8,BLOCK3,loudness,1,SAME,k,,k,1,,0.66 amps,270.00ms,2025-10-10T14:12:42.911785,2025-10-10T14:13:20.230672
BBBB01,9,BLOCK3,loudness,1,SAME,d,,d,1,,0.34 amps,305.00ms,2025-10-10T14:12:42.911785,2025-10-10T14:13:22.353202
BBBB01,10,BLOCK3,loudness,1,SAME,k,,k,1,,0.66 amps,390.00ms,2025-10-10T14:12:42.911785,2025-10-10T14:13:24.560000
