participant_id,trial_number,block,condition,version,difficulty,key_correct,hand,key_response,correct,error_type,iv,response_time,start_time,end_time
EEEE01,1,PRACTICE1,duration,1,SAME,k,,k,1,,0.56 ms,575.00 ms,2025-10-10T14:33:39.784296,2025-10-10T14:33:51.150697
EEEE01,2,PRACTICE1,duration,1,SAME,d,,d,1,,0.24 ms,705.00 ms,2025-10-10T14:33:39.784296,2025-10-10T14:33:55.049312
EEEE01,3,BLOCK1,duration,1,SAME,k,,k,1,,0.56 ms,831.00 ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:00.751976
EEEE01,4,BLOCK2,duration,1,SAME,k,,k,1,,0.56 ms,615.00 ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:06.204147
EEEE01,5,PRACTICE2,loudness,1,SAME,d,,d,1,,0.34 amps,787.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:13.544507
EEEE01,6,PRACTICE2,loudness,1,SAME,k,,k,1,,0.66 amps,480.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:17.355331
EEEE01,7,BLOCK3,loudness,1,SAME,k,,d,0,response_error,0.34 amps,360.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:21.985572
EEEE01,8,BLOCK3,loudness,1,HARD,d,,,0,response_error,0.66 amps,690.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:25.014150
EEEE01,9,BLOCK3,loudness,1,SAME,d,,d,1,,0.30 amps,435.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:27.786685
EEEE01,10,BLOCK3,loudness,1,SAME,k,,k,1,,0.70 amps,550.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:30.672728
EEEE01,11,BLOCK3,loudness,1,SAME,d,,d,1,,0.30 amps,440.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:33.457377
EEEE01,12,BLOCK3,loudness,1,SAME,k,,k,1,,0.70 amps,375.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:36.171222
EEEE01,13,BLOCK3,loudness,1,SAME,k,,k,1,,0.70 amps,465.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:38.972048
EEEE01,14,BLOCK3,loudness,1,SAME,k,,k,1,,0.70 amps,685.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:41.996080
EEEE01,15,BLOCK3,loudness,1,SAME,k,,k,1,,0.70 amps,575.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:44.914782
EEEE01,16,BLOCK3,loudness,1,SAME,d,,d,1,,0.30 amps,580.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:47.829864
EEEE01,17,BLOCK3,loudness,1,SAME,k,,k,1,,0.70 amps,430.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:50.595968
EEEE01,18,BLOCK3,loudness,1,SAME,k,,k,1,,0.70 amps,450.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:53.382496
EEEE01,19,BLOCK3,loudness,1,SAME,k,,k,1,,0.70 amps,440.00ms,2025-10-10T14:33:39.784296,2025-10-10T14:34:56.154421
