participant_id,trial_number,block,condition,version,difficulty,key_correct,hand,key_response,correct,error_type,iv,response_time,start_time,end_time
FFF01,1,PRACTICE1,duration,1,SAME,k,,d,0,response_error,0.24 ms,381.00 ms,2025-10-10T14:36:31.191016,2025-10-10T14:36:40.816201
FFF01,2,PRACTICE1,duration,1,HARD,d,,,0,response_error,0.56 ms,716.00 ms,2025-10-10T14:36:31.191016,2025-10-10T14:36:44.513215
FFF01,3,BLOCK1,duration,1,SAME,k,,k,1,,0.56 ms,550.00 ms,2025-10-10T14:36:31.191016,2025-10-10T14:36:49.320966
FFF01,4,BLOCK2,duration,1,SAME,k,,k,1,,0.56 ms,635.00 ms,2025-10-10T14:36:31.191016,2025-10-10T14:36:54.203278
FFF01,5,PRACTICE2,loudness,1,SAME,d,,d,1,,0.34 amps,435.00ms,2025-10-10T14:36:31.191016,2025-10-10T14:37:01.062162
FFF01,6,PRACTICE2,loudness,1,SAME,k,,k,1,,0.66 amps,510.00ms,2025-10-10T14:36:31.191016,2025-10-10T14:37:04.389851
FFF01,7,BLOCK3,loudness,1,SAME,k,,k,1,,0.66 amps,190.00ms,2025-10-10T14:36:31.191016,2025-10-10T14:37:08.237972
FFF01,8,BLOCK3,loudness,1,SAME,d,,d,1,,0.34 amps,465.00ms,2025-10-10T14:36:31.191016,2025-10-10T14:37:10.519473
FFF01,9,BLOCK3,loudness,1,SAME,k,,k,1,,0.66 amps,505.00ms,2025-10-10T14:36:31.191016,2025-10-10T14:37:12.840532
FFF01,10,BLOCK3,loudness,1,SAME,d,,d,1,,0.34 amps,295.00ms,2025-10-10T14:36:31.191016,2025-10-10T14:37:14.952353
