participant_id,trial_number,block,condition,version,key_correct,key_response,correct,error_type,PSE,comparison,T_U,T_I,Acuity (Sigma),accuracy,response_time,start_time,end_time
amanda01,1,PRACTICE1,duration,1,k,k,1,,160.00 ms,544.00 ms,356.00 ms,160.00 ms,65.33 ms,100.00%,1435.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:17.101828
amanda01,2,PRACTICE1,duration,1,d,d,1,,352.00 ms,160.00 ms,568.00 ms,160.00 ms,136.00 ms,100.00%,1255.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:20.922276
amanda01,3,PRACTICE1,duration,1,k,k,1,,296.00 ms,496.00 ms,460.00 ms,160.00 ms,100.00 ms,100.00%,790.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:24.613441
amanda01,4,PRACTICE1,duration,1,d,k,0,response_error,256.00 ms,440.00 ms,388.00 ms,160.00 ms,76.00 ms,75.00%,1565.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:29.027436
amanda01,5,PRACTICE1,duration,1,k,d,0,response_error,368.00 ms,400.00 ms,496.00 ms,240.00 ms,85.33 ms,60.00%,930.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:32.762331
amanda01,6,PRACTICE1,duration,1,d,d,1,,384.00 ms,224.00 ms,500.00 ms,268.00 ms,77.33 ms,66.67%,755.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:36.146607
amanda01,7,PRACTICE1,duration,1,k,k,1,,368.00 ms,496.00 ms,476.00 ms,260.00 ms,72.00 ms,71.43%,765.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:39.812469
amanda01,8,PRACTICE1,duration,1,k,k,1,,344.00 ms,472.00 ms,444.00 ms,244.00 ms,66.67 ms,75.00%,885.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:43.574374
amanda01,9,PRACTICE1,duration,1,k,k,1,,328.00 ms,440.00 ms,424.00 ms,232.00 ms,64.00 ms,77.78%,890.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:47.309434
amanda01,10,PRACTICE1,duration,1,d,d,1,,344.00 ms,232.00 ms,436.00 ms,252.00 ms,61.33 ms,80.00%,780.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:50.725419
amanda01,11,BLOCK1,duration,1,k,d,0,response_error,640.00 ms,256.00 ms,640.00 ms,444.00 ms,65.33 ms,0.00%,985.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:53:57.370487
amanda01,12,BLOCK1,duration,1,k,k,1,,448.00 ms,640.00 ms,640.00 ms,232.00 ms,136.00 ms,50.00%,945.00 ms,2025-11-13T22:53:01.037796,2025-11-13T22:54:00.859552
