participant_id,trial_number,block,condition,version,key_correct,key_response,correct,error_type,PSE,comparison,T_U,T_I,Acuity (Sigma),accuracy,response_time,start_time,end_time
amanda,1,PRACTICE1,duration,2,d,k,0,response_error,640.00 ms,256.00 ms,640.00 ms,444.00 ms,65.33 ms,0.00%,10363.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:47:21.782558
amanda,2,PRACTICE1,duration,2,k,d,0,response_error,376.00 ms,496.00 ms,572.00 ms,180.00 ms,130.67 ms,0.00%,3115.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:47:27.799257
amanda,3,PRACTICE1,duration,2,d,k,0,response_error,416.00 ms,232.00 ms,588.00 ms,244.00 ms,114.67 ms,0.00%,2375.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:47:32.811441
amanda,4,PRACTICE1,duration,2,d,k,0,response_error,448.00 ms,272.00 ms,604.00 ms,292.00 ms,104.00 ms,0.00%,2075.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:47:37.563309
amanda,5,PRACTICE1,duration,2,k,k,1,,472.00 ms,304.00 ms,620.00 ms,324.00 ms,98.67 ms,20.00%,2290.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:47:42.566225
amanda,6,PRACTICE1,duration,2,d,d,1,,448.00 ms,616.00 ms,572.00 ms,324.00 ms,82.67 ms,33.33%,2115.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:47:47.701319
amanda,7,PRACTICE1,duration,2,k,d,0,response_error,432.00 ms,576.00 ms,548.00 ms,316.00 ms,77.33 ms,28.57%,1340.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:47:52.022348
amanda,8,PRACTICE1,duration,2,k,d,0,response_error,408.00 ms,544.00 ms,512.00 ms,304.00 ms,69.33 ms,25.00%,1730.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:47:56.701365
amanda,9,PRACTICE1,duration,2,d,d,1,,392.00 ms,512.00 ms,492.00 ms,292.00 ms,66.67 ms,33.33%,845.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:48:00.463446
amanda,10,PRACTICE1,duration,2,d,d,1,,376.00 ms,488.00 ms,468.00 ms,284.00 ms,61.33 ms,40.00%,1080.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:48:04.437215
amanda,11,BLOCK1,duration,2,d,k,0,response_error,640.00 ms,256.00 ms,640.00 ms,444.00 ms,65.33 ms,0.00%,2090.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:48:18.551501
amanda,12,BLOCK1,duration,2,k,d,0,response_error,448.00 ms,640.00 ms,640.00 ms,232.00 ms,136.00 ms,0.00%,765.00 ms,2025-11-13T22:46:23.097962,2025-11-13T22:48:21.860210
