participant_id,trial_number,block,condition,version,difficulty,key_correct,hand,key_response,correct,error_type,comparison,response_time,start_time,end_time
anothertest01,1,PRACTICE1,duration,1,SAME,d,,d,1,,0.16ms,875.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:46:21.657179
anothertest01,2,PRACTICE1,duration,1,SAME,k,,k,1,,0.16ms,55.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:46:25.241569
anothertest01,3,BLOCK1,duration,1,SAME,d,,d,1,,0.16ms,1111.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:46:30.873746
anothertest01,4,BLOCK2,duration,1,SAME,k,,k,1,,0.16ms,611.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:46:36.309825
anothertest01,5,PRACTICE2,loudness,1,SAME,d,,d,1,,0.16 amps,471.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:46:43.574766
anothertest01,6,PRACTICE2,loudness,1,SAME,k,,k,1,,0.16 amps,396.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:46:47.306538
anothertest01,7,BLOCK3,loudness,1,SAME,d,,d,1,,0.16 amps,521.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:46:52.390313
anothertest01,8,BLOCK3,loudness,1,SAME,k,,k,1,,0.16 amps,971.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:46:55.707987
anothertest01,9,BLOCK3,loudness,1,SAME,d,,,0,response_error,0.16 amps,145.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:46:58.225952
anothertest01,10,BLOCK3,loudness,1,HARD,k,,d,0,response_error,0.16 amps,16.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:47:00.606561
anothertest01,11,BLOCK3,loudness,1,SAME,d,,d,1,,0.20 amps,391.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:47:03.344845
anothertest01,12,BLOCK3,loudness,1,SAME,k,,d,0,response_error,0.20 amps,317.00ms,2025-10-10T13:46:05.208503,2025-10-10T13:47:06.010084
