participant_id,trial_number,block,condition,version,key_correct,key_response,correct,error_type,PSE,comparison,T_U,T_I,Acuity (Sigma),accuracy,response_time,start_time,end_time
manda01,1,PRACTICE1,duration,1,k,k,1,,160.00 ms,544.00 ms,356.00 ms,160.00 ms,65.33 ms,100.00%,2070.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:01:32.113313
manda01,2,PRACTICE1,duration,1,d,d,1,,424.00 ms,304.00 ms,620.00 ms,228.00 ms,130.67 ms,100.00%,2651.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:01:40.029495
manda01,3,PRACTICE1,duration,1,d,d,1,,464.00 ms,280.00 ms,636.00 ms,292.00 ms,114.67 ms,100.00%,1545.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:01:48.001525
manda01,4,PRACTICE1,duration,1,d,d,1,,496.00 ms,320.00 ms,640.00 ms,348.00 ms,97.33 ms,100.00%,2745.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:01:57.080839
manda01,5,PRACTICE1,duration,1,k,d,0,response_error,520.00 ms,352.00 ms,640.00 ms,392.00 ms,82.67 ms,80.00%,4197.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:02:06.313528
manda01,6,PRACTICE1,duration,1,d,d,1,,544.00 ms,376.00 ms,640.00 ms,432.00 ms,69.33 ms,83.33%,2467.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:02:14.771635
manda01,7,PRACTICE1,duration,1,k,k,1,,472.00 ms,432.00 ms,580.00 ms,364.00 ms,72.00 ms,85.71%,1456.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:02:21.423777
manda01,8,PRACTICE1,duration,1,k,d,0,response_error,488.00 ms,360.00 ms,592.00 ms,384.00 ms,69.33 ms,75.00%,1260.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:02:27.670668
manda01,9,PRACTICE1,duration,1,k,d,0,response_error,512.00 ms,384.00 ms,612.00 ms,412.00 ms,66.67 ms,66.67%,2825.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:02:36.704536
manda01,10,PRACTICE1,duration,1,k,k,1,,464.00 ms,416.00 ms,548.00 ms,380.00 ms,56.00 ms,70.00%,4110.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:02:47.477570
manda01,11,BLOCK1,duration,1,k,k,1,,160.00 ms,544.00 ms,356.00 ms,160.00 ms,65.33 ms,100.00%,962.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:03:32.725395
manda01,12,BLOCK1,duration,1,d,d,1,,424.00 ms,304.00 ms,620.00 ms,228.00 ms,130.67 ms,100.00%,1865.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:03:40.208718
manda01,13,BLOCK1,duration,1,k,k,1,,384.00 ms,568.00 ms,556.00 ms,212.00 ms,114.67 ms,100.00%,1140.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:03:48.704521
manda01,14,BLOCK1,duration,1,k,k,1,,352.00 ms,528.00 ms,508.00 ms,196.00 ms,104.00 ms,100.00%,1215.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:03:56.634562
manda01,15,BLOCK1,duration,1,k,k,1,,328.00 ms,496.00 ms,476.00 ms,180.00 ms,98.67 ms,100.00%,2635.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:04:05.175642
manda01,16,BLOCK1,duration,1,d,k,0,response_error,304.00 ms,472.00 ms,440.00 ms,168.00 ms,90.67 ms,83.33%,1870.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:04:13.852569
manda01,17,BLOCK1,duration,1,d,d,1,,328.00 ms,168.00 ms,448.00 ms,208.00 ms,80.00 ms,85.71%,1125.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:04:21.249598
manda01,18,BLOCK1,duration,1,d,d,1,,344.00 ms,208.00 ms,452.00 ms,236.00 ms,72.00 ms,87.50%,1200.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:04:29.412924
manda01,19,BLOCK1,duration,1,d,d,1,,360.00 ms,232.00 ms,460.00 ms,260.00 ms,66.67 ms,88.89%,1200.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:04:37.295036
manda01,20,BLOCK1,duration,1,d,d,1,,376.00 ms,256.00 ms,468.00 ms,284.00 ms,61.33 ms,90.00%,2070.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:04:45.172623
manda01,21,BLOCK1,duration,1,k,d,0,response_error,392.00 ms,288.00 ms,480.00 ms,304.00 ms,58.67 ms,81.82%,3387.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:04:53.982663
manda01,22,BLOCK1,duration,1,k,d,0,response_error,408.00 ms,304.00 ms,492.00 ms,324.00 ms,56.00 ms,75.00%,5370.00 ms,2025-11-27T18:00:05.144426,2025-11-27T18:05:05.901632
