participant_id,trial_number,block,condition,version,difficulty,key_correct,hand,key_response,correct,error_type,comparison,response_time,start_time,end_time
newtest01,1,PRACTICE1,duration,1,SAME,d,,d,1,,0.16ms,831.00ms,2025-10-10T13:38:24.069313,2025-10-10T13:38:34.770596
newtest01,2,PRACTICE1,duration,1,SAME,d,,d,1,,0.16ms,800.00ms,2025-10-10T13:38:24.069313,2025-10-10T13:38:38.251835
newtest01,3,BLOCK1,duration,1,SAME,k,,d,0,response_error,0.16ms,591.00ms,2025-10-10T13:38:24.069313,2025-10-10T13:38:43.530626
newtest01,4,BLOCK2,duration,1,SAME,k,,k,1,,0.16ms,531.00ms,2025-10-10T13:38:24.069313,2025-10-10T13:38:51.580898
newtest01,5,PRACTICE2,loudness,1,SAME,d,,d,1,,0.16 amps,470.00ms,2025-10-10T13:38:24.069313,2025-10-10T13:38:59.314877
newtest01,6,PRACTICE2,loudness,1,SAME,k,,k,1,,0.16 amps,422.00ms,2025-10-10T13:38:24.069313,2025-10-10T13:39:02.568881
newtest01,7,BLOCK3,loudness,1,SAME,d,,d,1,,0.16 amps,600.00ms,2025-10-10T13:38:24.069313,2025-10-10T13:39:07.044298
newtest01,8,BLOCK3,loudness,1,SAME,k,,k,1,,0.16 amps,380.00ms,2025-10-10T13:38:24.069313,2025-10-10T13:39:09.257701
newtest01,9,BLOCK3,loudness,1,SAME,d,,d,1,,0.16 amps,363.00ms,2025-10-10T13:38:24.069313,2025-10-10T13:39:11.458942
newTest01,10,PRACTICE1,duration,1,SAME,d,,d,1,,0.16ms,581.00ms,2025-10-10T13:52:48.140520,2025-10-10T13:52:58.902994
newTest01,11,PRACTICE1,duration,1,SAME,k,,k,1,,0.16ms,567.00ms,2025-10-10T13:52:48.140520,2025-10-10T13:53:02.460910
newTest01,12,BLOCK1,duration,1,SAME,d,,d,1,,0.16ms,1067.00ms,2025-10-10T13:52:48.140520,2025-10-10T13:53:07.636370
newTest01,13,BLOCK2,duration,1,SAME,k,,k,1,,0.16ms,340.00ms,2025-10-10T13:52:48.140520,2025-10-10T13:53:12.745912
newTest01,14,PRACTICE2,loudness,1,SAME,k,,k,1,,0.16 amps,150.00ms,2025-10-10T13:52:48.140520,2025-10-10T13:53:19.798092
newTest01,15,PRACTICE2,loudness,1,SAME,d,,d,1,,0.16 amps,425.00ms,2025-10-10T13:52:48.140520,2025-10-10T13:53:23.061700
newTest01,16,BLOCK3,loudness,1,SAME,k,,k,1,,0.16 amps,520.00ms,2025-10-10T13:52:48.140520,2025-10-10T13:53:27.615469
newTest01,17,BLOCK3,loudness,1,SAME,d,,d,1,,0.16 amps,426.00ms,2025-10-10T13:52:48.140520,2025-10-10T13:53:29.875711
newTest01,18,BLOCK3,loudness,1,SAME,k,,k,1,,0.16 amps,591.00ms,2025-10-10T13:52:48.140520,2025-10-10T13:53:32.311181
newTest01,19,BLOCK3,loudness,1,SAME,k,,k,1,,0.16 amps,183.00ms,2025-10-10T13:52:48.140520,2025-10-10T13:53:34.333165
