participant_id,trial_number,block,round,type,fixation_time,condition,version,difficulty,key_correct,hand,fixation_key_response,fixation_reaction_time_ms,stimulus_key_response,stimulus_reaction_time_ms,isi_key_response,isi_reaction_time_ms,correct,error_type,start_time,end_time
amanda9,1,practice1_1,0,actual,1194,motor,1,194,100,,,,100,382,,,True,,25/08/17 23:08:11,25/08/17 23:08:15
amanda9,2,practice1_1,0,no_go,1122,motor,1,122,,,,,,,,,True,,25/08/17 23:08:15,25/08/17 23:08:19
amanda9,3,practice1_1,0,actual,978,motor,1,22,100,,,,100,269,,,True,,25/08/17 23:08:19,25/08/17 23:08:22
amanda9,4,practice1_1,0,actual,1055,motor,1,55,100,,,,100,455,,,True,,25/08/17 23:08:23,25/08/17 23:08:26
amanda9,5,practice1_1,0,actual,965,motor,1,35,100,,,,100,498,,,True,,25/08/17 23:08:26,25/08/17 23:08:29
amanda9,6,practice1_1,0,actual,914,motor,1,86,100,,,,100,463,,,True,,25/08/17 23:08:29,25/08/17 23:08:32
amanda9,7,practice1_2,0,actual,1026,motor,1,26,100,,,,100,445,,,True,,25/08/17 23:08:36,25/08/17 23:08:39
amanda9,8,practice1_2,0,actual,977,motor,1,23,100,,,,100,238,,,True,,25/08/17 23:08:39,25/08/17 23:08:42
amanda9,9,practice1_2,0,actual,1024,motor,1,24,100,,,,100,365,,,True,,25/08/17 23:08:42,25/08/17 23:08:45
amanda9,10,practice1_2,0,actual,837,motor,1,163,100,,,,100,252,,,True,,25/08/17 23:08:45,25/08/17 23:08:48
amanda9,11,practice1_2,0,actual,1036,motor,1,36,100,,,,100,279,,,True,,25/08/17 23:08:48,25/08/17 23:08:50
amanda9,12,practice1_2,0,no_go,1176,motor,1,176,,,,,100,213,,,False,no_go_error,25/08/17 23:08:50,25/08/17 23:08:53
amanda9,13,block1,0,actual,940,motor,1,60,100,,,,100,495,,,True,,25/08/17 23:08:57,25/08/17 23:08:59
amanda9,14,block1,0,actual,1139,motor,1,139,100,,,,100,492,,,True,,25/08/17 23:08:59,25/08/17 23:09:01
amanda9,15,block1,0,actual,981,motor,1,19,100,,,,100,398,,,True,,25/08/17 23:09:01,25/08/17 23:09:03
amanda9,16,block1,0,actual,903,motor,1,97,100,,,,100,267,,,True,,25/08/17 23:09:03,25/08/17 23:09:04
amanda9,17,block1,0,actual,878,motor,1,122,100,,,,100,344,,,True,,25/08/17 23:09:04,25/08/17 23:09:06
amanda9,18,block1,0,no_go,1103,motor,1,103,,,,,100,241,,,False,no_go_error,25/08/17 23:09:06,25/08/17 23:09:08
amanda9,19,block1,0,actual,935,motor,1,65,100,,,,100,323,,,True,,25/08/17 23:09:08,25/08/17 23:09:10
amanda9,20,block1,0,actual,1011,motor,1,11,100,,,,100,540,,,True,,25/08/17 23:09:10,25/08/17 23:09:12
amanda9,21,block1,0,actual,1117,motor,1,117,100,,,,100,575,,,True,,25/08/17 23:09:12,25/08/17 23:09:14
amanda9,22,block1,0,actual,1019,motor,1,19,100,,,,100,399,,,True,,25/08/17 23:09:14,25/08/17 23:09:16
amanda9,23,block1,0,actual,1041,motor,1,41,100,,,,100,318,,,True,,25/08/17 23:09:16,25/08/17 23:09:18
amanda9,24,block1,0,actual,876,motor,1,124,100,,,,100,419,,,True,,25/08/17 23:09:18,25/08/17 23:09:20
amanda9,25,block1,0,actual,999,motor,1,1,100,,,,100,434,,,True,,25/08/17 23:09:20,25/08/17 23:09:21
amanda9,26,block1,0,actual,927,motor,1,73,100,,,,100,430,,,True,,25/08/17 23:09:21,25/08/17 23:09:23
amanda9,27,block1,0,no_go,955,motor,1,45,,,,,,,,,True,,25/08/17 23:09:23,25/08/17 23:09:28
amanda9,28,block1,0,actual,880,motor,1,120,100,,,,100,1829,,,True,,25/08/17 23:09:28,25/08/17 23:09:31
amanda9,29,block1,0,actual,906,motor,1,94,100,,,,100,306,,,True,,25/08/17 23:09:31,25/08/17 23:09:33
amanda9,30,block1,0,actual,1088,motor,1,88,100,,,,,,,,False,no_response,25/08/17 23:09:33,25/08/17 23:09:37
amanda9,31,block1,0,actual,1125,motor,1,125,100,,,,,,,,False,no_response,25/08/17 23:09:37,25/08/17 23:09:40
amanda9,32,block1,0,actual,1001,motor,1,1,100,,,,,,,,False,no_response,25/08/17 23:09:40,25/08/17 23:09:44
amanda9,33,block1,0,actual,1116,motor,1,116,100,,,,,,,,False,no_response,25/08/17 23:09:44,25/08/17 23:09:47
amanda9,34,block1,0,actual,1031,motor,1,31,100,,1073742048,592,1073742049,133,,,False,premature_error,25/08/17 23:09:47,25/08/17 23:09:49
amanda9,35,block1,0,actual,1125,motor,1,125,100,,,,,,,,False,no_response,25/08/17 23:09:49,25/08/17 23:09:53
amanda9,36,block1,0,actual,837,motor,1,163,100,,,,1073742050,1329,1073742049,197,False,incorrect_response,25/08/17 23:09:53,25/08/17 23:09:55
amanda9,37,block1,0,actual,1182,motor,1,182,100,,,,,,,,False,no_response,25/08/17 23:09:55,25/08/17 23:09:59
amanda9,38,block1,0,actual,1046,motor,1,46,100,,,,,,,,False,no_response,25/08/17 23:09:59,25/08/17 23:10:03
amanda9,39,block1,0,actual,1132,motor,1,132,100,,,,,,,,False,no_response,25/08/17 23:10:03,25/08/17 23:10:07
amanda9,40,block1,0,no_go,947,motor,1,53,,,,,,,,,True,,25/08/17 23:10:07,25/08/17 23:10:10
amanda9,41,block1,0,actual,1184,motor,1,184,100,,,,,,,,False,no_response,25/08/17 23:10:10,25/08/17 23:10:14
amanda9,42,block1,0,actual,856,motor,1,144,100,,,,,,,,False,no_response,25/08/17 23:10:14,25/08/17 23:10:17
