task,participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,start_time,end_time,cloze_probability,meaningful
SD,aDemo01,right,right,demo,1,1,p1,practice,Practice,NA,NA,right,right,1,715,2026-02-13T13:03:50.469818,2026-02-13T13:04:10.875681,0.94,False
SD,aDemo01,right,right,demo,1,2,p1,practice,Practice,NA,NA,right,right,1,1003,2026-02-13T13:03:50.469818,2026-02-13T13:04:16.668194,0.48,False
SD,aDemo01,right,right,demo,1,3,p1,practice,Practice,NA,NA,left,right,0,829,2026-02-13T13:03:50.469818,2026-02-13T13:04:22.813285,0.95,True
SD,aDemo01,right,right,demo,1,4,b1,experimental,Predictable,NA,NA,left,left,1,902,2026-02-13T13:03:50.469818,2026-02-13T13:04:31.562209,0.91,True
SD,aDemo01,right,right,demo,1,5,b1,experimental,Switching,NA,NA,right,right,0,769,2026-02-13T13:03:50.469818,2026-02-13T13:04:37.113027,0.91,True
SD,aDemo01,right,right,demo,1,6,b1,experimental,Switching,NA,NA,left,left,1,943,2026-02-13T13:03:50.469818,2026-02-13T13:04:42.837130,0.9,True
SD,aDemo01,right,right,demo,1,7,b1,experimental,Meaningless,NA,NA,right,right,1,816,2026-02-13T13:03:50.469818,2026-02-13T13:04:47.906679,0.94,False
SD,aDemo01,right,right,demo,1,8,b1,experimental,Predictable,NA,NA,left,left,1,792,2026-02-13T13:03:50.469818,2026-02-13T13:04:52.974370,0.88,True
SD,aDemo01,right,right,demo,1,9,b2,experimental,Switching,NA,NA,left,left,1,856,2026-02-13T13:03:50.469818,2026-02-13T13:05:04.222108,0.89,True
SD,aDemo01,right,right,demo,1,10,b2,experimental,Switching,NA,NA,left,left,1,1076,2026-02-13T13:03:50.469818,2026-02-13T13:05:10.603917,0.91,True
SD,aDemo01,right,right,demo,1,11,b2,experimental,Meaningless,NA,NA,right,right,1,727,2026-02-13T13:03:50.469818,2026-02-13T13:05:17.162977,0.95,False
SD,aDemo01,right,right,demo,1,12,b2,experimental,Switching,NA,NA,left,left,1,1024,2026-02-13T13:03:50.469818,2026-02-13T13:05:22.442993,0.83,True
SD,aDemo01,right,right,demo,1,13,b2,experimental,Switching,NA,NA,left,left,1,647,2026-02-13T13:03:50.469818,2026-02-13T13:05:28.403898,0.9,True
