participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time_ms,start_time,end_time,predictability,cloze_probability,meaningful
demo1_01,right,right,actual,1,1,p1,p1,predictable,NA,NA,d,right,0,,2026-02-06T11:34:11.225893,2026-02-06T11:34:39.608835,high,0.87,True
demo1_01,right,right,actual,1,2,p1,p1,predictable,NA,NA,d,right,0,,2026-02-06T11:34:11.225893,2026-02-06T11:34:47.120056,high,0.84,True
demo1_01,right,right,actual,1,3,p1,p1,predictable,NA,NA,d,right,0,,2026-02-06T11:34:11.225893,2026-02-06T11:34:54.977661,high,0.82,True
demo1_01,right,right,actual,1,4,p1,p1,predictable,NA,NA,d,right,0,,2026-02-06T11:34:11.225893,2026-02-06T11:35:01.426598,high,0.88,True
demo1_01,right,right,actual,1,5,p1,p1,meaningless,NA,NA,k,right,1,,2026-02-06T11:34:11.225893,2026-02-06T11:35:09.786785,low,0.35,False
demo1_01,right,right,actual,1,6,p1,p1,switching,NA,NA,d,right,0,,2026-02-06T11:34:11.225893,2026-02-06T11:35:18.102186,low,0.41,True
demo1_01,right,right,actual,1,7,p1,p1,predictable,NA,NA,d,right,0,,2026-02-06T11:34:11.225893,2026-02-06T11:35:24.945730,high,0.92,True
demo1_01,right,right,actual,1,8,p1,p1,switching,NA,NA,d,right,0,,2026-02-06T11:34:11.225893,2026-02-06T11:35:33.774382,low,0.34,True
demo1_01,right,right,actual,1,9,p1,p1,switching,NA,NA,d,right,0,,2026-02-06T11:34:11.225893,2026-02-06T11:35:41.907108,low,0.43,True
demo1_01,right,right,actual,1,10,p1,p1,meaningless,NA,NA,k,,timeout,,2026-02-06T11:34:11.225893,2026-02-06T11:35:52.676262,low,0.36,False
