participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time_ms,start_time,end_time,cloze_probability,meaningful
demo701,right,right,demo,1,1,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:37:34.852969,2026-02-06T12:37:49.104524,0.87,True
demo701,right,right,demo,1,2,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:37:34.852969,2026-02-06T12:37:57.238752,0.92,True
demo701,right,right,demo,1,3,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:37:34.852969,2026-02-06T12:38:02.950844,0.88,True
demo701,right,right,demo,1,4,p1,p1,meaningless,k,k,NA,NA,1,,2026-02-06T12:37:34.852969,2026-02-06T12:38:13.394725,0.36,False
demo701,right,right,demo,1,5,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:37:34.852969,2026-02-06T12:38:23.909313,0.82,True
demo701,right,right,demo,1,6,p1,p1,switching,d,k,NA,NA,0,,2026-02-06T12:37:34.852969,2026-02-06T12:38:31.351449,0.41,True
demo701,right,right,demo,1,7,p1,p1,switching,d,k,NA,NA,0,,2026-02-06T12:37:34.852969,2026-02-06T12:38:38.697554,0.34,True
demo701,right,right,demo,1,8,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:37:34.852969,2026-02-06T12:38:45.000680,0.84,True
demo701,right,right,demo,1,9,p1,p1,switching,d,k,NA,NA,0,,2026-02-06T12:37:34.852969,2026-02-06T12:38:52.878600,0.43,True
demo701,right,right,demo,1,10,p1,p1,meaningless,k,k,NA,NA,1,,2026-02-06T12:37:34.852969,2026-02-06T12:39:00.207458,0.35,False
