task,participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,start_time,end_time,cloze_probability,meaningful
SD,demoreal02,right,right,actual,2,1,p1,practice,Practice,NA,NA,d,left,1,1526,2026-02-13T04:05:01.893092,2026-02-13T04:05:34.425812,0.95,True
SD,demoreal02,right,right,actual,2,2,p1,practice,Practice,NA,NA,d,left,1,1354,2026-02-13T04:05:01.893092,2026-02-13T04:05:43.144266,0.37,True
SD,demoreal02,right,right,actual,2,3,p1,practice,Practice,NA,NA,d,right,0,1448,2026-02-13T04:05:01.893092,2026-02-13T04:05:51.929449,0.4,True
SD,demoreal02,right,right,actual,2,4,p1,practice,Practice,NA,NA,k,right,1,1310,2026-02-13T04:05:01.893092,2026-02-13T04:05:59.543991,0.81,False
SD,demoreal02,right,right,actual,2,5,p1,practice,Practice,NA,NA,k,right,1,1083,2026-02-13T04:05:01.893092,2026-02-13T04:06:06.904468,0.94,False
SD,demoreal02,right,right,actual,2,6,p1,practice,Practice,NA,NA,d,left,1,1676,2026-02-13T04:05:01.893092,2026-02-13T04:06:15.363108,0.88,True
SD,demoreal02,right,right,actual,2,7,p1,practice,Practice,NA,NA,d,left,1,1308,2026-02-13T04:05:01.893092,2026-02-13T04:06:22.956034,0.96,True
SD,demoreal02,right,right,actual,2,8,p1,practice,Practice,NA,NA,d,left,1,1517,2026-02-13T04:05:01.893092,2026-02-13T04:06:31.814345,0.36,True
SD,demoreal02,right,right,actual,2,9,p1,practice,Practice,NA,NA,k,left,0,171,2026-02-13T04:05:01.893092,2026-02-13T04:06:39.323870,0.82,False
SD,demoreal02,right,right,actual,2,10,p1,practice,Practice,NA,NA,d,right,0,723,2026-02-13T04:05:01.893092,2026-02-13T04:06:46.323976,0.44,True
