task,participant_id,language,group,session,dominant_hand,hand_used,mode,mapping,trial,block,trial_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,stimulus_path,start_time,end_time,tap_num,pace_ms,synch_sound_ticks,response_ticks,intervals
TAP,demo,,1,1,right,right,demo,1,1,p1,practice,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-35,2026-05-05_13-30-40,1,550,13694,14219,NA
TAP,demo,,1,1,right,right,demo,1,1,p1,practice,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-35,2026-05-05_13-30-40,2,550,14245,14718,499
TAP,demo,,1,1,right,right,demo,1,1,p1,practice,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-35,2026-05-05_13-30-40,3,550,14795,15201,483
TAP,demo,,1,1,right,right,demo,1,1,p1,practice,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-35,2026-05-05_13-30-40,4,550,15346,15810,609
TAP,demo,,1,1,right,right,demo,1,1,p1,practice,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-35,2026-05-05_13-30-40,5,550,NA,16300,NA
TAP,demo,,1,1,right,right,demo,1,1,p1,practice,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-35,2026-05-05_13-30-40,6,550,NA,16736,436
TAP,demo,,1,1,right,right,demo,1,1,p1,practice,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-35,2026-05-05_13-30-40,7,550,NA,17186,450
TAP,demo,,1,1,right,right,demo,1,1,p1,practice,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-35,2026-05-05_13-30-40,8,550,NA,17648,462
TAP,demo,,1,1,right,right,demo,1,1,p1,practice,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-35,2026-05-05_13-30-40,9,550,NA,18152,504
TAP,demo,,1,1,right,right,demo,1,1,p2,practice,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-43,2026-05-05_13-30-49,1,550,22511,23042,NA
TAP,demo,,1,1,right,right,demo,1,1,p2,practice,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-43,2026-05-05_13-30-49,2,550,23063,23604,562
TAP,demo,,1,1,right,right,demo,1,1,p2,practice,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-43,2026-05-05_13-30-49,3,550,23616,24149,545
TAP,demo,,1,1,right,right,demo,1,1,p2,practice,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-43,2026-05-05_13-30-49,4,550,24168,24715,566
TAP,demo,,1,1,right,right,demo,1,1,p2,practice,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-43,2026-05-05_13-30-49,5,550,NA,25258,NA
TAP,demo,,1,1,right,right,demo,1,1,p2,practice,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-43,2026-05-05_13-30-49,6,550,NA,25737,479
TAP,demo,,1,1,right,right,demo,1,1,p2,practice,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-43,2026-05-05_13-30-49,7,550,NA,26273,536
