participant_id,block,trial_number,type,tap_number,timestamp_ms,ISI_ms,interval,trial_type,hand,group
 q,1,1,synchronized,1,0,600,16294,Failed,right,control
 q,1,1,synchronized,2,16294,600,601,Failed,right,control
 q,1,1,synchronized,3,16895,600,671,Failed,right,control
 q,1,1,synchronized,4,17566,600,619,Failed,right,control
 q,1,1,synchronized,5,18185,600,560,Failed,right,control
 q,1,1,synchronized,6,18745,600,623,Failed,right,control
 q,1,1,synchronized,7,19368,600,592,Failed,right,control
 q,1,1,synchronized,8,19960,600,618,Failed,right,control
 q,1,1,synchronized,9,20578,600,607,Failed,right,control
 q,1,1,synchronized,10,21185,600,605,Failed,right,control
 q,1,1,synchronized,11,21790,600,607,Failed,right,control
 q,1,1,synchronized,12,22397,600,4540,Failed,right,control
 q,1,1,self_paced,13,26937,600,689,Failed,right,control
 q,1,1,self_paced,14,27626,600,537,Failed,right,control
 q,1,1,self_paced,15,28163,600,613,Failed,right,control
 q,1,1,self_paced,16,28776,600,473,Failed,right,control
 q,1,1,self_paced,17,29249,600,630,Failed,right,control
 q,1,1,self_paced,18,29879,600,607,Failed,right,control
 q,1,1,self_paced,19,30486,600,875,Failed,right,control
 q,1,1,self_paced,20,31361,600,725,Failed,right,control
 q,1,1,self_paced,21,32086,600,750,Failed,right,control
 q,1,1,self_paced,22,32836,600,4652,Failed,right,control
 q,1,1,self_paced,23,37488,600,623,Failed,right,control
 q,1,1,self_paced,24,38111,600,613,Failed,right,control
 q,1,1,self_paced,25,38724,600,675,Failed,right,control
 q,1,1,self_paced,26,39399,600,562,Failed,right,control
 q,1,1,self_paced,27,39961,600,627,Failed,right,control
 q,1,1,self_paced,28,40588,600,511,Failed,right,control
 q,1,1,self_paced,29,41099,600,563,Failed,right,control
 q,1,1,self_paced,30,41662,600,575,Failed,right,control
 q,1,1,self_paced,31,42237,600,487,Failed,right,control
 q,1,1,self_paced,32,42724,600,614,Failed,right,control
 q,1,1,self_paced,33,43338,600,575,Failed,right,control
 q,1,1,self_paced,34,43913,600,561,Failed,right,control
 q,1,1,self_paced,35,44474,600,513,Failed,right,control
 q,1,1,self_paced,36,44987,600,450,Failed,right,control
 q,1,1,self_paced,37,45437,600,550,Failed,right,control
 q,1,1,self_paced,38,45987,600,562,Failed,right,control
 q,1,1,self_paced,39,46549,600,575,Failed,right,control
 q,1,1,self_paced,40,47124,600,525,Failed,right,control
 q,1,1,self_paced,41,47649,600,475,Failed,right,control
 q,1,1,self_paced,42,48124,600,526,Failed,right,control
 q,1,1,self_paced,43,48650,600,,Failed,right,control
