participant_id,group,block,trial,tap_num,type,ISI_ms,condition,difficulty,stimuli_path,synchronized_sound_tick_ms,key_response_tick_ms,interval_ms,trial_type,key_correct,start_time,end_time
alvin,al,practice1,1,1,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,3071,,,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,2,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,3671,,,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,3,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,4271,4384,,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,4,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,4871,4956,572,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,5,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,5471,5513,557,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,6,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,6071,6156,643,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,7,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,6671,6763,607,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,8,self_paced,600,self_paced,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,,7344,581,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,9,self_paced,600,self_paced,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,,7939,595,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,10,self_paced,600,self_paced,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,,8537,598,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,11,self_paced,600,self_paced,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,,9115,578,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,1,12,self_paced,600,self_paced,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,,9744,629,True,d,2025-08-04_14-23-59,2025-08-04_14-24-07
alvin,al,practice1,2,13,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,10758,10760,,True,d,2025-08-04_14-24-07,2025-08-04_14-24-14
alvin,al,practice1,2,14,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,11358,11881,1121,True,d,2025-08-04_14-24-07,2025-08-04_14-24-14
alvin,al,practice1,2,15,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,11958,12548,667,True,d,2025-08-04_14-24-07,2025-08-04_14-24-14
alvin,al,practice1,2,16,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,12558,,,True,d,2025-08-04_14-24-07,2025-08-04_14-24-14
alvin,al,practice1,2,17,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,13158,13169,,True,d,2025-08-04_14-24-07,2025-08-04_14-24-14
alvin,al,practice1,2,18,synchronized,600,synchronized,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,13758,13758,589,True,d,2025-08-04_14-24-07,2025-08-04_14-24-14
alvin,al,practice1,2,19,self_paced,600,self_paced,600,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum/time/tapping/stimuli/tapping_task_tone_900Hz_50ms_0.25amp.wav,,14405,647,True,d,2025-08-04_14-24-07,2025-08-04_14-24-14
